"","X","samplenum","duration","meanprobdetection","AUC"
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,16,960,0.113636363636364,0.544491525423729
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.17min.int.csv",1,16,1020,0.103896103896104,0.677825261158594
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.18min.int.csv",1,16,1080,0.11038961038961,0.613406658739596
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.19min.int.csv",1,16,1140,0.12987012987013,0.684343434343434
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.1hour.int.csv",1,16,3600,0.201298701298701,0.590662931839402
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.1min.int.csv",1,16,60,0.0487012987012987,0.709224985540775
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.20min.int.csv",1,16,1200,0.116883116883117,0.599915254237288
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.2min.int.csv",1,16,120,0.0454545454545455,0.769410977242303
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.3min.int.csv",1,16,180,0.0454545454545455,0.67989417989418
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.4min.int.csv",1,16,240,0.0584415584415584,0.579651941097724
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.5min.int.csv",1,16,300,0.0357142857142857,0.656373517786561
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.6min.int.csv",1,16,360,0.0681818181818182,0.642547425474255
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.7min.int.csv",1,16,420,0.0616883116883117,0.585365853658537
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.8min.int.csv",1,16,480,0.0551948051948052,0.524617346938775
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.9min.int.csv",1,16,540,0.103896103896104,0.708729554963865
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,2,600,0.0652173913043478,0.683333333333333
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,2,660,0.0869565217391304,0.683333333333333
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,2,720,0.0217391304347826,0.683333333333333
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,2,780,0.0434782608695652,0.683333333333333
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,2,840,0.0869565217391304,0.683333333333333
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,2,900,0.152173913043478,0.659090909090909
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,2,960,0.0869565217391304,0.6
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.17min.int.csv",1,2,1020,0.0869565217391304,0.6
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.18min.int.csv",1,2,1080,0.173913043478261,0.607142857142857
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.19min.int.csv",1,2,1140,0.0869565217391304,0.571428571428571
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.1hour.int.csv",1,2,3600,0.108695652173913,0.8
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.1min.int.csv",1,2,60,0.0217391304347826,0.8
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.20min.int.csv",1,2,1200,0.108695652173913,1
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.2min.int.csv",1,2,120,0,1
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.3min.int.csv",1,2,180,0.0652173913043478,1
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.4min.int.csv",1,2,240,0.0434782608695652,0.545454545454545
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.5min.int.csv",1,2,300,0.0434782608695652,0.545454545454545
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.6min.int.csv",1,2,360,0.0434782608695652,0.545454545454545
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.7min.int.csv",1,2,420,0.0869565217391304,0.45
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.8min.int.csv",1,2,480,0.130434782608696,0.95
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.9min.int.csv",1,2,540,0.0217391304347826,0.95
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,20,600,0.0753246753246753,0.741710526315789
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,20,660,0.0779220779220779,0.609564702398579
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,20,720,0.114285714285714,0.649173955296404
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,20,780,0.109090909090909,0.637414965986395
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,20,840,0.103896103896104,0.668367346938776
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,20,900,0.103896103896104,0.628414755732802
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,20,960,0.103896103896104,0.704080459770115
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.17min.int.csv",1,20,1020,0.109090909090909,0.683284742468416
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.18min.int.csv",1,20,1080,0.124675324675325,0.64257283197832
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.19min.int.csv",1,20,1140,0.0883116883116883,0.641196013289037
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.1hour.int.csv",1,20,3600,0.223376623376623,0.600447647123048
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.1min.int.csv",1,20,60,0.025974025974026,0.681076388888889
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.20min.int.csv",1,20,1200,0.155844155844156,0.6908527696793
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.2min.int.csv",1,20,120,0.0337662337662338,0.662807318467696
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.3min.int.csv",1,20,180,0.051948051948052,0.792068595927117
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.4min.int.csv",1,20,240,0.0571428571428571,0.711682743837085
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.5min.int.csv",1,20,300,0.0571428571428571,0.611205432937182
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.6min.int.csv",1,20,360,0.0545454545454545,0.666760935143288
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.7min.int.csv",1,20,420,0.0961038961038961,0.646569865319865
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.8min.int.csv",1,20,480,0.0571428571428571,0.671072974644403
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonPeentDetections.9min.int.csv",1,20,540,0.0623376623376623,0.556281833616299
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,24,600,0.0844155844155844,0.593260046855289
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,24,660,0.0779220779220779,0.689975144987573
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,24,720,0.0974025974025974,0.631769340974212
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,24,780,0.0887445887445888,0.706451330532213
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,24,840,0.112554112554113,0.590271937202131
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,24,900,0.0995670995670996,0.619245763982606
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,24,960,0.11038961038961,0.731160458452722
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.17min.int.csv",1,24,1020,0.0952380952380952,0.746727423363712
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.18min.int.csv",1,24,1080,0.0974025974025974,0.684844192634561
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.19min.int.csv",1,24,1140,0.116883116883117,0.622868217054264
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.1hour.int.csv",1,24,3600,0.199134199134199,0.606900212314225
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.1min.int.csv",1,24,60,0.0281385281385281,0.692418213969938
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.20min.int.csv",1,24,1200,0.103896103896104,0.66636677162993
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.2min.int.csv",1,24,120,0.0324675324675325,0.706469456469456
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.3min.int.csv",1,24,180,0.0303030303030303,0.649350649350649
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.4min.int.csv",1,24,240,0.038961038961039,0.682138069705094
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.5min.int.csv",1,24,300,0.0606060606060606,0.70398810998266
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.6min.int.csv",1,24,360,0.0692640692640693,0.584164884770729
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.7min.int.csv",1,24,420,0.0584415584415584,0.679169315532952
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.8min.int.csv",1,24,480,0.0735930735930736,0.623797830980151
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonPeentDetections.9min.int.csv",1,24,540,0.0822510822510823,0.710477941176471
"auc_meandetectionprobSampled_28_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,28,600,0.0742115027829314,0.637622424856467
"auc_meandetectionprobSampled_28_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,28,660,0.0742115027829314,0.601049002347418
"auc_meandetectionprobSampled_28_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,28,720,0.0853432282003711,0.788309636650869
