"","X","X.Error.in.as.ms....data.frame.......n..no.method.or.default.for.coercing..try.error..to..data.frame..n.","samplenum","duration","model","formula","p.as.factor.twilightperiod.ASTRONOMICAL.","SEp.as.factor.twilightperiod.ASTRONOMICAL.","p.as.factor.twilightperiod.BEFORE.","SEp.as.factor.twilightperiod.BEFORE.","p.as.factor.twilightperiod.CIVIL.","SEp.as.factor.twilightperiod.CIVIL.","p.as.factor.twilightperiod.NAUTICAL.","SEp.as.factor.twilightperiod.NAUTICAL.","p.as.factor.twilightperiod.NIGHT.","SEp.as.factor.twilightperiod.NIGHT.","p.Int.","SEp.Int.","psi.Int.","SEpsi.Int.","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"38",1,NA,12,300,"Twilight","~as.factor(twilightperiod) ~ 1",-0.339326043949938,1.14963688727017,-1.18454080628788,1.43324332731525,-0.985202311496703,1.20776303974112,-0.4530583414413,1.08999566889489,-1.0120036470196,1.44911408079236,-0.529771494502831,0.933828747599344,-1.08410980532012,0.538079832075679,0,54.994276044953,39.0194251771161,7,23,92.0388503542321,0,1,NA,1
"39",1,NA,12,360,"Twilight","~as.factor(twilightperiod) ~ 1",6.37202413089521,25.1849708863993,-7.43395359979279,802.499859511919,6.50752370787844,25.1849114020963,6.6985801407288,25.1832813583866,7.9190132731467,25.1906787134654,-8.06684296484881,25.1791003340431,-0.468600760197547,0.549174334486657,0,6383308.90929565,40.7920434160263,7,23,95.5840868320525,0,1,NA,1
"40",1,NA,12,420,"Twilight","~as.factor(twilightperiod) ~ 1",-0.0659807265070401,1.05130120756612,-9.77948598633064,167.883260315352,0.0275339437755599,1.06529516810776,-11.092198471726,137.915013199856,-0.199119593353635,1.08879513059141,-0.90824270878615,0.894482298478767,-0.926986368648324,0.567392405974049,0,272704.89854511,36.7167177470248,7,23,87.4334354940496,0,1,NA,1
"41",1,NA,12,480,"Twilight","~as.factor(twilightperiod) ~ 1",7.20596286682323,31.4501812552585,6.73087810694953,31.4579566465915,7.21355133899646,31.4496341831733,6.6592031825174,31.449235893984,8.1900229664315,31.4459528193597,-9.38553671223113,31.4428921393009,0.287985415849859,0.996185632429356,0,59959.7047125267,38.6868609629179,7,23,91.3737219258358,0,1,NA,1
"42",1,NA,12,540,"Twilight","~as.factor(twilightperiod) ~ 1",0.491883756983965,0.895875746468887,-0.609304381934972,1.02698947706154,-0.362901036849565,0.879726677762166,-1.82581000053825,1.23474163852159,-0.579581097528098,1.30191918412847,-1.10842507305047,0.69458781784267,-0.244848569937907,0.532062130866539,0,38.7510031597429,48.9264919788502,7,23,111.8529839577,0,1,NA,1
"43",1,NA,16,600,"Twilight","~as.factor(twilightperiod) ~ 1",-0.772827154719091,1.07144063175586,-1.0009630065978,1.30775515291935,-0.459868664031971,0.996968966174661,-0.491925074557049,0.986377381343177,0.00182300444399781,1.0992248108827,-1.74851021525853,0.833418449680557,-0.0972768751005093,0.700465031560793,0,46.7520605898183,49.1593787457034,7,23,112.318757491407,0,1,NA,1
"44",1,NA,16,660,"Twilight","~as.factor(twilightperiod) ~ 1",-0.497533693231218,1.3555298374477,-9.66053585426641,73.8681959221255,-0.175865073148125,1.34187519661375,-0.571129779118907,1.33263608732755,-0.42862551435478,1.44779696941269,-1.28232261854491,1.28656722589749,-0.407101258278819,0.558866941816004,0,69635.4828685087,51.0563464707695,7,23,116.112692941539,0,1,NA,1
"45",1,NA,16,720,"Twilight","~as.factor(twilightperiod) ~ 1",-1.31731000399489,1.11371277886069,-0.153814710905339,1.06803941688815,-0.817330268207254,0.964692257820786,-0.368834435283762,0.927325971339636,-0.606437260332633,1.13104467621071,-1.18395471875921,0.861776352417449,0.255020250282406,0.573250108663154,0,84.1827760347781,70.6652446922793,7,23,155.330489384559,0,1,NA,1
"46",1,NA,16,780,"Twilight","~as.factor(twilightperiod) ~ 1",0.148805317838099,0.806011374169522,-1.09472034012028,1.21067341201773,0.321106127113832,0.745549026330191,-0.420462941426844,0.828510545581402,-1.30239767157068,1.20432527098843,-1.76181154651875,0.652879673427914,0.621805453362761,0.676149760055802,0,54.2825110300237,71.1239227319919,7,23,156.247845463984,0,1,NA,1
"47",1,NA,16,840,"Twilight","~as.factor(twilightperiod) ~ 1",-0.795414162966677,0.812075654944331,-2.07956093103648,1.21595962584424,-0.666102700754135,0.780530271732641,-0.999069653041416,0.806753975916834,-1.80924780045343,1.22522737851011,-0.631544414783847,0.633206807188445,-0.101275902210773,0.505016614878464,0,50.344012466252,66.4329516240369,7,23,146.865903248074,0,1,NA,1
"48",1,NA,16,900,"Twilight","~as.factor(twilightperiod) ~ 1",-0.183972248543435,0.95960796688218,-1.29808064735297,1.30074390384825,0.403895302285119,0.907630227045527,-0.0982421839495401,0.931668773964419,0.101904251281072,1.02242458507697,-1.49022203027,0.796520872330261,-0.162278623686253,0.487619162507212,0,72.3275424252934,68.2052795092014,7,23,150.410559018403,0,1,NA,1
"49",1,NA,16,960,"Twilight","~as.factor(twilightperiod) ~ 1",-0.736156393873582,0.771661066692341,-0.692639474330801,0.87711770726544,-0.860826133734394,0.766963443208611,-0.95694135758917,0.763675096684077,-0.47472822273972,0.876142105819984,-1.1037999998038,0.64032093466704,0.709728962087304,0.623613189159274,0,49.7039420933435,79.4894402941944,7,23,172.978880588389,0,1,NA,1
"50",1,NA,16,1020,"Twilight","~as.factor(twilightperiod) ~ 1",1.04207802133636,1.18210370194361,2.34519097545408,1.19057119192945,1.926336830429,1.16801578807026,-0.778898792389209,1.47853921470486,1.48329501884628,1.2315999453533,-2.08812613817593,1.06119647626168,-0.73856764973486,0.464066722918859,0,128.656924489434,60.1648285162472,7,23,134.329657032494,0,1,NA,1
"51",1,NA,16,1080,"Twilight","~as.factor(twilightperiod) ~ 1",0.610167875723123,0.755441442539544,-0.256416672888958,0.883895906224225,-0.068956472135005,0.770233027283871,0.39711232004262,0.76638806969107,-0.370102343765298,0.98088742553499,-1.69426281215574,0.63404994772382,0.513508499393687,0.535058617906617,0,61.2456195916632,85.7765107618262,7,23,185.553021523652,0,1,NA,1
"52",1,NA,16,1140,"Twilight","~as.factor(twilightperiod) ~ 1",-0.527583253604689,0.756430855681232,0.615376367510208,0.745643930877601,-0.380810484578802,0.720134219192944,0.0490015936369396,0.665467667671478,-0.904790829100732,0.916614842207576,-1.11112584046802,0.524142296270737,-0.0370715681503894,0.466096502559763,0,43.0303319474633,82.0102227542137,7,23,178.020445508427,0,1,NA,1
"53",1,NA,16,3600,"Twilight","~as.factor(twilightperiod) ~ 1",7.96794557437487,46.9707581050615,7.58773476696993,46.9726976191831,7.69235136295964,46.970646192028,7.32608724372469,46.9710020695694,7.61147010846077,46.9720499392528,-8.41701124306313,46.9695861885326,0.25622284937424,0.451555166910862,0,519488.946600096,112.595302152309,7,23,239.190604304618,0,1,NA,1
"54",1,NA,16,60,"Twilight","~as.factor(twilightperiod) ~ 1",-0.188923740023367,0.952680108599503,-11.4404812090533,150.610922372822,-11.7983620405515,145.785882590506,-2.27518461725151,1.25983488837454,0.711090086961278,0.947112790253564,-0.62278043955538,0.74612339598957,-1.04311459793169,0.536434830345894,0,207215.032801941,35.448969656865,7,23,84.8979393137299,0,1,NA,1
"55",1,NA,16,1200,"Twilight","~as.factor(twilightperiod) ~ 1",-0.370878498455218,0.749641486232466,-0.372850646252916,0.862140686869753,-0.957659859767554,0.834577199214868,-1.06799351189531,0.885005191755607,-1.36379625497677,0.979433563264952,-0.634061045480748,0.632790240638329,-0.221681890781806,0.47048079530758,0,50.5152568619372,70.9436816208325,7,23,155.887363241665,0,1,NA,1
"56",1,NA,16,120,"Twilight","~as.factor(twilightperiod) ~ 1",-1.68945711546915,1.32454180747268,-0.635231257476751,1.37290549243033,0.0768937807886498,1.01986970973901,-0.44462355267917,1.00060150380982,-10.3330543635927,115.941040457942,-1.11739136398369,0.862083602695049,-0.777934946653606,0.527864067589643,0,127140.516854495,40.9821647310374,7,23,95.9643294620749,0,1,NA,1
"57",1,NA,16,180,"Twilight","~as.factor(twilightperiod) ~ 1",0.28594572754369,1.03777750730677,-0.578728386712282,1.32251425530208,-0.839135408399569,1.31553606932581,-0.457320111786734,1.10103570340502,-7.55806470949554,42.2852729434365,-1.57673385286207,0.825687113894827,-0.877828270090356,0.608811301899432,0,12704.6884626626,33.9599479050975,7,23,81.9198958101949,0,1,NA,1
"58",1,NA,16,240,"Twilight","~as.factor(twilightperiod) ~ 1",1.7409652863879,1.25077733308782,0.489955632920446,1.60747275354853,-0.925373283556939,1.49336624783487,0.232137250381812,1.25253771443506,-0.0905986586276264,1.53132096633972,-1.86825503752946,1.08932325816035,-1.08275169473555,0.538453379175708,0,67.3474676864097,37.9170420329214,7,23,89.8340840658428,0,1,NA,1
"59",1,NA,16,300,"Twilight","~as.factor(twilightperiod) ~ 1",-5.25767241410467,2129.89788090117,13.1754475563459,225.251695552115,11.3725472912619,225.249149622701,11.7609407126645,225.249222654747,-3.94425757686475,2129.89788069641,-12.9300447329508,225.248305546805,-1.05206976783347,0.550790110465952,0,29263409.8019354,27.3203386765899,7,23,68.6406773531798,0,1,NA,1
"60",1,NA,16,360,"Twilight","~as.factor(twilightperiod) ~ 1",0.135380356635666,0.848978277409004,0.282963410459335,1.03088697797974,-0.370564037242514,0.876219182409512,-0.368380360643204,1.00263532931867,-0.476587658374965,1.24348413162954,-1.85121636019534,0.637620846301061,-0.0987407536868829,0.600882450323506,0,35.6280286091453,54.0132342713493,7,23,122.026468542699,0,1,NA,1
"61",1,NA,16,420,"Twilight","~as.factor(twilightperiod) ~ 1",7.54594813392458,24.187368903233,7.02825474682705,24.2121381897949,6.54872138946983,24.1904520137528,6.73696043381689,24.1906682819409,7.13924199300183,24.1955749632944,-8.79507234826024,24.1844750495171,-0.14403206793987,0.590168575760742,0,43385.1171527879,51.2555668016138,7,23,116.511133603228,0,1,NA,1
"62",1,NA,16,480,"Twilight","~as.factor(twilightperiod) ~ 1",10.6700263118032,119.864506023479,11.3120415339279,119.86515613459,10.690685251118,119.864503550471,10.9407167295483,119.864611485256,10.1949752510423,119.868143156605,-12.3299615396216,119.863278696563,-0.472314369815622,0.532053091477212,0,1103498.5752143,51.7492461513061,7,23,117.498492302612,0,1,NA,1
"63",1,NA,16,540,"Twilight","~as.factor(twilightperiod) ~ 1",-1.00556984624263,0.816988911651865,-1.70744415392909,1.20915988934888,-0.650553316224082,0.789065609517142,-0.578621862877034,0.761951488099237,-1.06390403250791,0.978825337049079,-0.851976166871594,0.621450312112595,-0.0708689022781892,0.516481315648846,0,46.700538844945,68.2676502445331,7,23,150.535300489066,0,1,NA,1
"64",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",2,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1,NA,2,660,"Twilight","~as.factor(twilightperiod) ~ 1",-5.97899305371043,9692.73229032726,-4.44876759688738,4527.39810314247,-3.65529538458519,3054.35975394602,21.5959501400011,489.591332410295,-3.65529538458519,3054.35975394602,-10.9940338649127,345.044167640847,-1.09859930022876,1.15473635338783,0,70461650.4921136,2.24935754544993,7,9,18.4987150908999,0,1,NA,1
"66",1,NA,2,720,"Twilight","~as.factor(twilightperiod) ~ 1",-1.14657282815479,118196.234523371,-1.1874622530187,148366.07443824,-2.19828579943119,173706.987386558,-1.14278295937671,117416.052853764,-1.77922656545958,100549.100495752,-10.9993988611364,75731.0785263084,-11.3132588558213,73514.0772126926,0,63.6325754029977,7.37043093277542e-10,7,8,14.0000000014741,0,1,NA,1
"67",1,NA,2,780,"Twilight","~as.factor(twilightperiod) ~ 1",-1.00613400163739,268435.455375,-1.95085105797278,8796093317.09781,-1.95085105797245,8796093298.6658,-1.94820458883681,536870.909015624,-1.96193959628115,558792.958742268,-11.5286947441998,379625.060530365,-11.7251768527575,189812.530143649,0,-2.03920543684962,3.23843729619031e-10,7,13,14.0000000006477,0,1,NA,1
"68",1,NA,2,840,"Twilight","~as.factor(twilightperiod) ~ 1",-5.94171465579501,9420.67758547509,-1.75074112702877,14158.3238974982,16.3286651636468,NA,-5.94171465595496,9420.91344784867,-4.78945475629945,7464.49066527231,-11.6652622359267,678.47067485906,-1.08606146341537,NA,0,-7183452.0213621,2.24934279123519,7,10,18.4986855824704,0,1,NA,1
"69",1,NA,2,900,"Twilight","~as.factor(twilightperiod) ~ 1",16.1685678493238,3110.24222369967,-2.78045947676452,2186.76561591066,-5.03569664816427,4720.51570559239,-2.78045947676452,2186.76561591066,-3.54524773098978,3165.12736597743,-11.4900828373856,312.53155108689,-0.67925073275191,43.3576767262736,0,14726743.8181583,1.90955340355399,7,11,17.819106807108,0,1,NA,1
"70",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",2,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",2,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1,NA,2,1080,"Twilight","~as.factor(twilightperiod) ~ 1",-2.28058553210533,120341.860997582,-2.28058553211061,120341.860977308,-1.21274698133623,154981.282613246,-1.21274698133623,154981.282613246,-2.26849394619457,NA,-11.0191125970363,92072.6018039717,-11.2486373780978,46036.3008215959,0,-181.711213667305,5.37492494994083e-10,7,10,14.000000001075,0,1,NA,1
"73",1,NA,2,1140,"Twilight","~as.factor(twilightperiod) ~ 1",-5.18103024011849,2004.63450604531,-2.83313331296337,900.061577489041,13.3818119374221,1788.02479087393,-6.95657910216482,3444.6423866134,-1.36180019216514,3647.21942269449,-9.11920200001201,213.674522407237,-1.36880211643961,31.3894244826013,0,11311142.1549415,2.50203607469848,7,12,19.004072149397,0,1,NA,1
"74",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",2,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1,NA,2,60,"Twilight","~as.factor(twilightperiod) ~ 1",-1.54614852677983,NA,-1.54614852677985,NA,-2.92335257332903,NA,-2.22598210550549,NA,-2.63250216046025,NA,-10.874133892854,NA,-10.6748634916935,0.00119457953417616,0,-11.260674278485,4.69766781044036e-10,7,11,14.0000000009395,0,1,NA,1
"76",1,NA,2,1200,"Twilight","~as.factor(twilightperiod) ~ 1",11.7048254063759,306.716868719629,-2.73739859056744,344.880726624216,-6.40761578927961,1050.58805468126,-4.32121004042856,528.606966191793,-2.47106996205683,304.672492408868,-8.52129935857986,85.9340804187212,0.820120265777493,39.9626665514108,0,640079.833145228,1.90970599844556,7,11,17.8194119968911,0,1,NA,1
"77",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",2,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",2,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1,NA,2,240,"Twilight","~as.factor(twilightperiod) ~ 1",-5.19899974234116,1980.62857123209,-3.52419333611188,1219.84719454336,-2.02786693471312,825.991102125137,-1.67640986154728,698.979158425058,9.97612041601772,169.344222473235,-11.362431344877,169.340531633722,11.9379642656158,782.169246440695,0,6278709.71660041,2.50205327018726,7,13,19.0041065403745,0,1,NA,1
"80",1,NA,2,300,"Twilight","~as.factor(twilightperiod) ~ 1",-1.95379570076939,46131.016642171,NA,NA,-2.64440687464464,49796.6587455686,-2.45557856961194,46245.767849011,-1.55351257422349,47705.7242818987,-9.98557470709373,63580.9683914724,-10.4086259583594,62441.1721564273,0,62.8612537091668,3.75686426540027e-09,6,13,12.0000000075137,0,1,NA,1
"81",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",2,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",2,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",2,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1,NA,2,540,"Twilight","~as.factor(twilightperiod) ~ 1",-3.47850350094648,NA,-2.38128802563562,NA,-3.98972950989386,0,-3.07298808863083,NA,NA,NA,-12.9225091251065,NA,-12.720068277521,NA,0,-1.4464930233251e-13,2.70350408726518e-12,6,11,12.0000000000054,0,1,NA,1
"85",1,NA,20,600,"Twilight","~as.factor(twilightperiod) ~ 1",-1.35686171111904,0.782519238731771,-1.90301525438417,0.935687542487899,-2.0465717738911,0.828630865362534,-1.15053439455198,0.705692694500128,-1.33232192283458,0.850173841003125,-0.284544327892249,0.579183898678122,-0.281925407078678,0.457921496756085,0,44.4700363255296,75.9436623647885,7,23,165.887324729577,0,1,NA,1
"86",1,NA,20,660,"Twilight","~as.factor(twilightperiod) ~ 1",-0.00958397332740818,0.818435567328732,-0.627312482977619,1.21532719940009,0.444995067873509,0.746917702948188,0.332564753932034,0.764571916405676,-0.760553141245665,1.2060300341583,-2.00647235462274,0.625633222255929,-0.0513944412979245,0.525707700187134,0,53.1475258472569,74.4605234875906,7,23,162.921046975181,0,1,NA,1
"87",1,NA,20,720,"Twilight","~as.factor(twilightperiod) ~ 1",-0.86093589535358,0.704778863946529,-1.04789902451068,0.955831466465561,-0.375355606622142,0.626449559426214,-1.33544314007095,0.717190515796483,-0.988567737579098,0.83406722531,-0.420805277975914,0.528893524447026,-0.322576170488832,0.446739515608139,0,56.2775160108179,91.025466024079,7,23,196.050932048158,0,1,NA,1
"88",1,NA,20,780,"Twilight","~as.factor(twilightperiod) ~ 1",-0.244971615790161,0.761132420590966,0.751390281180362,0.805361302760973,-0.229881869697122,0.674978771957143,0.655033519828646,0.638298701092257,0.488437399061876,0.787208266066917,-1.79033066927714,0.543942607457567,0.354444933448262,0.484163648420797,0,57.5949194013854,103.115914565952,7,23,220.231829131904,0,1,NA,1
"89",1,NA,20,840,"Twilight","~as.factor(twilightperiod) ~ 1",0.810444147586866,0.840916723238002,-0.763704875958198,1.06349745169527,0.45273840990209,0.864201356156506,-0.15774128351751,0.86833269161853,0.432642963552482,0.953059884435262,-1.78695897843061,0.774013408494248,0.331791164112905,0.478281276082191,0,110.97975850507,101.298966926341,7,23,216.597933852683,0,1,NA,1
"90",1,NA,20,900,"Twilight","~as.factor(twilightperiod) ~ 1",0.0333580615003365,0.666078620991667,-0.234663386942063,0.753051890091599,-0.659061976017264,0.741949881011159,0.420910978735917,0.626247112748993,-0.319120555982068,0.814852927216991,-1.26409322350506,0.512375467866834,-0.117036652602015,0.447547538960508,0,49.7125161351181,94.7245561626368,7,23,203.449112325274,0,1,NA,1
"91",1,NA,20,960,"Twilight","~as.factor(twilightperiod) ~ 1",0.215017067221864,0.892483346213749,-1.13586259660059,1.2759200997968,0.296847721846701,0.844405226811623,0.447882860720317,0.856929336270352,0.694873238398236,0.948900772695218,-2.14953685910529,0.782957299425631,0.777551987299322,0.600126357762144,0,96.5053328915207,93.6083848962254,7,23,201.216769792451,0,1,NA,1
"92",1,NA,20,1020,"Twilight","~as.factor(twilightperiod) ~ 1",0.84932833409262,1.13229898603121,1.3098623689716,1.21181555398195,2.04075591653997,1.0774364191455,0.573402609164552,1.12907575626985,1.79623161096842,1.11618544846329,-2.90757114792049,1.0279687595216,0.567895566490012,0.50124849094508,0,188.398316919857,100.346044863491,7,23,214.692089726981,0,1,NA,1
"93",1,NA,20,1080,"Twilight","~as.factor(twilightperiod) ~ 1",-1.13957447477357,0.679950877862313,-1.56452803242435,0.792732516702195,-1.46527637448122,0.671345645552094,-1.1702670327165,0.666714600895895,-2.22571526183132,0.933520895715892,0.114865138208961,0.560673135823829,-0.140828522502369,0.441695727888695,0,69.1864350614171,103.592849253609,7,23,221.185698507218,0,1,NA,1
"94",1,NA,20,1140,"Twilight","~as.factor(twilightperiod) ~ 1",-0.754917570449125,0.812330874556556,-0.442971551029961,0.855815455290142,-1.39491904391223,0.883545041297809,-0.0619956909720246,0.75078772025843,-0.288571277725094,0.857298609303837,-1.41964135724388,0.664378619840113,0.614191089451533,0.586882215585336,0,65.6274256088784,90.5942058058404,7,23,195.188411611681,0,1,NA,1
"95",1,NA,20,3600,"Twilight","~as.factor(twilightperiod) ~ 1",5.22408942142471,8.52528257630474,4.94490190464182,8.52796583508568,5.52100696438118,8.52249696793459,4.7045336370679,8.5252999242366,4.96209320389977,8.52919156615218,-5.88876572897525,8.51889339358551,0.846146780186798,0.459561546556942,0,24784.6164325957,150.031307509591,7,23,314.062615019183,0,1,NA,1
"96",1,NA,20,60,"Twilight","~as.factor(twilightperiod) ~ 1",-12.3974675495835,181.836724308172,-1.24881120406267,1.25400564604889,-1.10745805155944,0.918314788761725,-2.25984812422011,1.21940780990001,-1.39738088792489,1.26090373430009,-1.4460475278266,0.846978227341706,-0.0556980075988546,0.910265249033546,0,272626.506712992,36.4956388996598,7,23,86.9912777993196,0,1,NA,1
"97",1,NA,20,1200,"Twilight","~as.factor(twilightperiod) ~ 1",-0.372664867148064,0.71513190614405,-0.155656436628008,0.785339881633258,0.588217098718468,0.639657663633265,0.283629883318258,0.638862522320202,0.67098741470414,0.75207682810706,-1.39973226431983,0.560306385616067,0.611446708672493,0.464716651703851,0,84.1649531799962,124.148131901403,7,23,262.296263802805,0,1,NA,1
"98",1,NA,20,120,"Twilight","~as.factor(twilightperiod) ~ 1",-1.75462879700811,1.31032303913399,-1.23928707191988,1.31939740270123,-0.175438268038501,0.976347978204229,-1.74167600887243,1.30186267376648,-0.147855822138305,1.11022169108736,-1.49169055861957,0.851548163293742,-0.569688470458608,0.590805060675451,0,41.900000053675,42.7228403231724,7,23,99.4456806463447,0,1,NA,1
"99",1,NA,20,180,"Twilight","~as.factor(twilightperiod) ~ 1",-1.06356542450483,1.49184465893336,1.03653619215168,1.29990410067265,0.387519179181751,1.17137131215134,-0.0524296142059546,1.24709154194278,1.52346572298692,1.2658840492788,-1.86040290574257,1.08720396530759,-0.697082981946534,0.475193486545081,0,108.365658855867,56.1760795359182,7,23,126.352159071836,0,1,NA,1
"100",1,NA,20,240,"Twilight","~as.factor(twilightperiod) ~ 1",1.50392623836489,1.17572377492432,0.312126715785091,1.4641456182568,1.86268948337878,1.12198072414382,1.56613202628519,1.17864125370926,0.394001817309455,1.46591640438199,-2.87126517547378,1.0308033530048,-0.667818256132316,0.480444883200703,0,103.590155167257,57.8696110257423,7,23,129.739222051485,0,1,NA,1
"101",1,NA,20,300,"Twilight","~as.factor(twilightperiod) ~ 1",-0.00342391344149691,1.04284168250957,1.20704854465771,0.87311263793712,0.45574329759582,0.912371937141797,-0.256305886367333,0.950819357108721,0.373899361905443,1.0507479980173,-2.58144283646618,0.762784734965575,0.297267013114654,0.694026803884174,0,59.2400369489152,67.7040746112504,7,23,149.408149222501,0,1,NA,1
"102",1,NA,20,360,"Twilight","~as.factor(twilightperiod) ~ 1",-1.29666038198585,0.98866211393322,-11.0197081083673,133.774832747321,-0.0900240032743775,0.78511565494257,-0.337443042044233,0.853153389787446,-1.34893357848978,1.22755884986734,-1.36445750765605,0.679295343607373,-0.428027763608118,0.535429827686785,0,262975.298117183,57.4963276412276,7,23,128.992655282455,0,1,NA,1
"103",1,NA,20,420,"Twilight","~as.factor(twilightperiod) ~ 1",-1.23624967074469,0.719983448560391,-0.910127596521492,0.734206601088682,-1.00350067781104,0.664899285202297,-1.36616999815768,0.716772557493576,-0.135813571332826,0.901790622011733,-0.459000149764624,0.539705794340816,-0.119391188632371,0.445201302440366,0,51.2138413125268,90.8566468093,7,23,195.7132936186,0,1,NA,1
"104",1,NA,20,480,"Twilight","~as.factor(twilightperiod) ~ 1",1.36288495970041,1.13975748901973,-0.0707464723126576,1.46771133592797,1.51982546153149,1.12895162376239,0.717626690955565,1.14700622876711,-0.405603436997802,1.46002817568602,-2.58513837265312,1.04302823236811,-0.411101658707291,0.479376513175657,0,122.256328546805,67.5722104185756,7,23,149.144420837151,0,1,NA,1
"105",1,NA,20,540,"Twilight","~as.factor(twilightperiod) ~ 1",0.85583872301731,1.13456734086351,1.43302632758365,1.18617456964153,-1.01296586247619,1.45176703999136,0.236641292611492,1.20254145676931,1.31315798354697,1.18034674216417,-2.8161791868292,1.07283185219971,0.380082068760897,0.65899924765607,0,111.560017547435,66.2526237984252,7,23,146.50524759685,0,1,NA,1
"106",1,NA,24,600,"Twilight","~as.factor(twilightperiod) ~ 1",-0.0400187184452021,0.664040341876562,-0.767477736500148,0.902951829872638,0.122829486578058,0.652123274697439,0.0204978647798296,0.641959189397068,-1.23604990682649,1.14896713343097,-2.11059894932757,0.545342423874204,1.53992202728751,0.918702854910256,0,59.9819136684057,105.609736147687,7,23,225.219472295374,0,1,NA,1
"107",1,NA,24,660,"Twilight","~as.factor(twilightperiod) ~ 1",1.12123512926083,1.13937462243606,1.51052796987713,1.11846680322819,1.28906440640694,1.09403142801901,1.2554313874455,1.09310384467009,0.531601721948955,1.19501417742179,-2.86679278102615,1.03393378993711,0.184798697189161,0.479546115132747,0,194.471530328373,105.767259127171,7,23,225.534518254343,0,1,NA,1
"108",1,NA,24,720,"Twilight","~as.factor(twilightperiod) ~ 1",0.104178776965009,0.76935845942256,-0.0793081459744757,0.820751968841955,-0.0318344473223345,0.741238946478324,-0.481216522329817,0.755308586253548,0.234366965914797,0.802879458696652,-1.38753858279589,0.660507382187341,0.0844853467466873,0.451429825211766,0,94.4579075272101,115.518675335899,7,23,245.037350671798,0,1,NA,1
"109",1,NA,24,780,"Twilight","~as.factor(twilightperiod) ~ 1",1.34657952165189,1.13261793199235,0.809963078683563,1.15754413855481,0.84994790233365,1.15631506849278,0.671889037494155,1.13927946319459,0.625201494500754,1.23860770769837,-2.17665687373427,1.06534385949061,-0.326699795674067,0.444178364754449,0,192.071923694955,91.025703208147,7,23,196.051406416294,0,1,NA,1
"110",1,NA,24,840,"Twilight","~as.factor(twilightperiod) ~ 1",0.296174434452462,0.593974746344443,-0.343866141093219,0.702412090137854,-0.527943774295726,0.648389734191819,-0.390266204361032,0.621614873403651,-1.7868930287976,1.13910505975376,-1.34400182563106,0.505688045740404,0.367526491119606,0.482037980771038,0,67.9952942396642,119.025833362158,7,23,252.051666724316,0,1,NA,1
"111",1,NA,24,900,"Twilight","~as.factor(twilightperiod) ~ 1",0.978830970544715,0.826569015454439,1.15431667521584,0.895387257956699,0.566132500220355,0.82797659124679,0.63506272655346,0.841452914509776,1.48866334514907,0.859353336739382,-2.49208438531506,0.738521220522196,0.358219316058807,0.482723238153897,0,110.961540856157,114.399006449493,7,23,242.798012898987,0,1,NA,1
