"","X","X.Error.in.as.ms....data.frame.......n..no.method.or.default.for.coercing..try.error..to..data.frame..n.","samplenum","duration","model","formula","p.as.factor.twilightperiod.ASTRONOMICAL.","SEp.as.factor.twilightperiod.ASTRONOMICAL.","p.as.factor.twilightperiod.BEFORE.","SEp.as.factor.twilightperiod.BEFORE.","p.as.factor.twilightperiod.CIVIL.","SEp.as.factor.twilightperiod.CIVIL.","p.as.factor.twilightperiod.NAUTICAL.","SEp.as.factor.twilightperiod.NAUTICAL.","p.as.factor.twilightperiod.NIGHT.","SEp.as.factor.twilightperiod.NIGHT.","p.Int.","SEp.Int.","psi.Int.","SEpsi.Int.","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"218",1,NA,8,1020,"Twilight","~as.factor(twilightperiod) ~ 1",-0.025845433170266,1.05576798442914,0.308480921268329,1.08905420829611,0.0650930377499066,1.00661208995571,-0.626129171070334,1.13413563386344,-0.409662990089977,1.36629260700125,-1.23978103739266,0.857630811996549,0.0402442690471146,0.666001104234017,0,51.2476703328398,43.9558040984442,7,22,101.911608196888,0,1,NA,1
"219",1,NA,8,1080,"Twilight","~as.factor(twilightperiod) ~ 1",-9.86849447487958,85.7298802364427,0.372035166246783,1.00561823196191,-0.449870769714338,1.31063329001966,0.0179742775290644,0.947442061644914,-0.08729320410476,1.08909708113596,-1.81169962660821,0.915656905338548,1.21165388465236,1.78371997310296,0,80595.7735005766,37.44745973916,7,22,88.8949194783201,0,1,NA,1
"220",1,NA,8,1140,"Twilight","~as.factor(twilightperiod) ~ 1",7.77028184546536,31.8782107446345,6.57266492308805,31.8885903707012,7.12939553729056,31.876354718153,-6.83148934527543,626.168951942819,7.33308790981173,31.8803691416959,-8.4198079527065,31.871182977275,-0.202942384729026,0.687050635790127,0,2968373.6546273,30.2665023788462,7,22,74.5330047576924,0,1,NA,1
"221",1,NA,8,3600,"Twilight","~as.factor(twilightperiod) ~ 1",-7.95043829521655,34.5061315273502,-7.43239651157054,34.5079260902142,-6.95088266241483,34.504632028261,-6.80009688098381,34.5127749338132,-7.52338333151127,34.5113340554718,7.08016819745626,34.4991912570891,-0.922295151797691,0.488552529914667,0,71957.2076936939,37.8545561836905,7,22,89.7091123673811,0,1,NA,1
"222",1,NA,8,60,"Twilight","~as.factor(twilightperiod) ~ 1",-4.13329987191658,330.704465837063,-3.57759467386204,310.894938643293,8.65794531944993,70.8199050088408,-4.3738438084883,356.731949360551,-2.51012013580073,240.04547456209,-9.22325904327008,70.8364771841273,-1.21827052720554,1.59278886093558,0,327791.094751742,7.28621694420637,7,22,28.5724338884127,0,1,NA,1
"223",1,NA,8,1200,"Twilight","~as.factor(twilightperiod) ~ 1",-0.195110706173929,1.16371421067054,-1.01544024545027,1.41670451359363,-1.52635102171117,1.12962731122451,-1.53219432802551,1.12474087018836,-0.851089264422059,1.45950743618048,-0.192564127505925,0.834605031293106,-0.661466039577854,0.568098069091626,0,37.1116242554642,34.7043226113596,7,22,83.4086452227192,0,1,NA,1
"224",1,NA,8,120,"Twilight","~as.factor(twilightperiod) ~ 1",-2.30225677456313,1.64483465114503,8.14962817742177,132.97208940886,-1.73940769754262,1.7456494309209,-2.36823865319457,1.64949647240598,-11.4750598841032,106.661314869715,0.588994710553455,1.24706572579635,-1.27802518883035,0.586261090143621,0,66388.9998257474,18.9871024951793,7,22,51.9742049903586,0,1,NA,1
"225",1,NA,8,180,"Twilight","~as.factor(twilightperiod) ~ 1",10.1981017588298,214.743425364926,11.1217872089022,214.74423614742,-7.83249752691098,5845.3896742178,9.48485677187294,214.744377695562,-6.51782369850525,4899.96064756796,-12.1818548665708,214.744839908818,-0.0805492987478208,1.85633478122042,0,180905263.230984,17.9125600682819,7,22,49.8251201365637,0,1,NA,1
"226",1,NA,8,240,"Twilight","~as.factor(twilightperiod) ~ 1",10.1796737202764,180.468402881697,11.2783420283235,180.467083010795,11.0271087882826,180.466525742463,10.5499361419111,180.466981102016,-5.71788937030564,3394.13209166657,-13.2242635766205,180.465498973044,12.1229503826462,670.324598093812,0,107726188.301124,27.2645375284141,7,22,68.5290750568282,0,1,NA,1
"227",1,NA,8,300,"Twilight","~as.factor(twilightperiod) ~ 1",-5.26554910571358,1362.71187921516,-4.59077215949062,1202.96292885181,9.99817290848125,105.530421588993,10.8917789611989,105.529650841262,10.6992363369006,105.531720417862,-11.9503660257063,105.52887683129,1.16216770481599,1.63743836940829,0,22025948.541972,32.3604555494977,7,22,78.7209110989954,0,1,NA,1
"228",1,NA,8,360,"Twilight","~as.factor(twilightperiod) ~ 1",0.547363927237509,1.38593167581934,0.0356940679851241,1.58197248702056,-0.683929840221384,1.54322884620448,0.228212363206973,1.36897410628011,-7.9484173332184,52.7494374053655,-1.75121673126041,1.2425886009063,-0.485118347564821,0.884042970033847,0,17266.2464374279,25.287360885393,7,22,64.574721770786,0,1,NA,1
"229",1,NA,8,420,"Twilight","~as.factor(twilightperiod) ~ 1",-0.157864865196785,1.15270771490978,-0.438088452841286,1.33814560010271,-0.230620520000733,1.12121855235792,0.538850924346699,1.01718487957561,-8.37455841241997,55.1517677473575,-1.46947005934595,0.850911203940447,-0.0692661366338646,0.770044856453014,0,26522.6208005895,34.6223199769081,7,22,83.2446399538163,0,1,NA,1
"230",1,NA,8,480,"Twilight","~as.factor(twilightperiod) ~ 1",-1.48745592734437,1.32892727414694,-0.615635755863768,1.35592010857412,-10.6373296105679,119.379459566606,-1.22612643680829,1.33967534418254,9.25507347999531,48.0593044718527,-1.34225224467784,0.849028202303271,-0.0397855830676895,0.586068691709137,0,70906.8997143333,24.0977639463145,7,22,62.1955278926291,0,1,NA,1
"231",1,NA,8,540,"Twilight","~as.factor(twilightperiod) ~ 1",8.33153344869346,49.2294796645238,-4.66956681569287,815.770641836927,8.64699657910739,49.2148393116513,8.61915289664407,49.2133689836271,-6.23771013772528,1259.33801692064,-9.42017424722646,49.2099635458391,-1.02222451285783,0.712715407241188,0,10346987.200108,23.2093525203998,7,22,60.4187050407996,0,1,NA,1
