sm_id,location,year,month,day,day current format,,,,PreSS,ms0,SS,c1,n1,a1,nightcalc,a2,n2,c2,endCivil2SRstart,ms8,EndSRdaystart,SStoSRend
13588,Behchoko,2014,6,12:00:00 AM,,,,,10:25:00 PM,1:00:00 AM,11:25:00 PM,2:17:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:17:30 AM,4:00:00 AM,12:08:00 AM,4:08:00 AM,16980
13588,Behchoko,2014,6,12:00:00 AM,,,,,10:33:00 PM,1:00:00 AM,11:33:00 PM,2:10:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:10:00 AM,3:53:00 AM,12:09:00 AM,4:02:00 AM,16140
13588,Behchoko,2014,6,12:00:00 AM,,,,,10:40:00 PM,1:00:00 AM,11:40:00 PM,2:03:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:03:30 AM,3:47:00 AM,12:10:00 AM,3:57:00 AM,15420
13588,Behchoko,2014,6,12:00:00 AM,,,,,10:46:00 PM,1:00:00 AM,11:46:00 PM,1:58:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:58:30 AM,3:43:00 AM,12:10:00 AM,3:53:00 AM,14820
13588,Behchoko,2014,6,12:00:00 AM,,,,,10:50:00 PM,1:00:00 AM,11:50:00 PM,1:56:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:56:00 AM,3:42:00 AM,12:10:00 AM,3:52:00 AM,14520
13588,Behchoko,2014,6,12:00:00 AM,,,,,10:52:00 PM,1:00:00 AM,11:52:00 PM,1:55:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:55:00 AM,3:42:00 AM,12:10:00 AM,3:52:00 AM,14400
13588,Behchoko,2014,6,12:00:00 AM,,,,,10:52:00 PM,1:00:00 AM,11:52:00 PM,1:56:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:56:30 AM,3:45:00 AM,12:09:00 AM,3:54:00 AM,14520
13588,Behchoko,2014,6,12:00:00 AM,,,,,10:49:00 PM,1:00:00 AM,11:49:00 PM,2:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:00:00 AM,3:49:00 AM,12:09:00 AM,3:59:00 AM,14940
13588,Behchoko,2014,7,12:00:00 AM,,,,,10:45:00 PM,1:00:00 AM,11:45:00 PM,2:05:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:05:00 AM,3:55:00 AM,12:09:00 AM,4:04:00 AM,15540
13588,Behchoko,2014,7,12:00:00 AM,,,,,10:39:00 PM,1:00:00 AM,11:39:00 PM,2:12:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:12:00 AM,4:03:00 AM,12:09:00 AM,4:12:00 AM,16380
