sm_id,location,year,month,day,PreSS,ms0,SS,c1,n1,a1,nightcalc,a2,n2,c2,endCivil2SRstart,ms8,EndSRdaystart,SStoSRend
13588,Behchoko,2014,8,20,20:38:00,3600,21:38:00,3330,5100,6690,360,6690,5100,3330,6:02:00,360,6:08:00,30960
7524,Black Lake,2014,6,1,22:01:00,3600,23:01:00,4440,6390,0,0,0,6390,4440,5:02:00,360,5:09:00,22020
7524,Black Lake,2014,6,5,22:07:00,3600,23:07:00,4650,5880,0,0,0,5880,4650,4:58:00,360,5:04:00,21420
7524,Black Lake,2014,6,9,22:12:00,3600,23:12:00,4890,5400,0,0,0,5400,4890,4:55:00,360,5:01:00,20940
7524,Black Lake,2014,6,13,22:16:00,3600,23:16:00,5040,5070,0,0,0,5070,5040,4:53:00,360,4:59:00,20580
7524,Black Lake,2014,6,17,22:19:00,3600,23:19:00,5130,4860,0,0,0,4860,5130,4:52:00,360,4:58:00,20340
7524,Black Lake,2014,6,21,22:20:00,3600,23:20:00,5160,4800,0,0,0,4800,5160,4:52:00,420,4:59:00,20340
7524,Black Lake,2014,6,25,22:19:00,3600,23:19:00,5070,4980,0,0,0,4980,5070,4:54:00,420,5:01:00,20520
7524,Black Lake,2014,6,29,22:17:00,3600,23:17:00,4860,5340,0,0,0,5340,4860,4:57:00,420,5:04:00,20820
7524,Black Lake,2014,7,3,22:13:00,3600,23:13:00,4680,5760,0,0,0,5760,4680,5:01:00,420,5:08:00,21300
7524,Black Lake,2014,7,7,22:13:00,3600,23:13:00,4620,6000,0,0,0,6000,4620,5:07:00,360,5:13:00,21600
7524,Black Lake,2014,7,11,22:03:00,3600,23:03:00,4260,6840,0,0,0,6840,4260,5:13:00,360,5:19:00,22560
7524,Black Lake,2014,7,15,21:56:00,3600,22:56:00,4050,7470,0,0,0,7470,4050,5:20:00,360,5:26:00,23400
7524,Black Lake,2014,7,19,21:56:00,3600,22:56:00,3930,7800,0,0,0,7800,3930,5:27:00,360,5:33:00,23820
7524,Black Lake,2014,7,23,21:48:00,3600,22:48:00,3750,8460,0,0,0,8460,3750,5:35:00,360,5:41:00,24780
7524,Black Lake,2014,7,27,21:40:00,3600,22:40:00,3570,9150,0,0,0,9150,3570,5:44:00,300,5:49:00,25740
7524,Black Lake,2014,7,31,21:31:00,3600,22:31:00,3420,6210,3630,300,3630,6210,3420,5:53:00,300,5:58:00,27120
7524,Black Lake,2014,8,4,21:22:00,3600,22:22:00,3210,5370,5190,360,5190,5370,3210,6:01:00,300,6:07:00,28200
7524,Black Lake,2014,8,8,21:12:00,3600,22:12:00,3120,4800,6450,240,6450,4800,3120,6:11:00,240,6:15:00,29220
7524,Black Lake,2014,8,12,21:02:00,3600,22:02:00,3000,4380,7560,240,7560,4380,3000,6:20:00,240,6:24:00,30360
7524,Black Lake,2014,8,16,20:51:00,3600,21:51:00,2910,4080,8550,240,8550,4080,2910,6:29:00,240,6:33:00,31560
7524,Black Lake,2014,8,20,20:40:00,3600,21:40:00,2820,3810,6210,6840,6210,3810,2820,6:38:00,240,6:42:00,32760
7758,Carp,2014,6,1,19:45:00,3600,20:45:00,2220,2910,3720,13380,3720,2910,2220,5:20:00,210,5:23:00,31290
7758,Carp,2014,6,5,19:49:00,3600,20:49:00,2220,2970,3840,12720,3840,2970,2220,5:18:00,210,5:22:00,30990
7758,Carp,2014,6,9,19:51:00,3600,20:51:00,2280,3000,3930,12120,3930,3000,2280,5:17:00,210,5:20:00,30750
7758,Carp,2014,6,13,19:54:00,3600,20:54:00,2280,3030,4020,11700,4020,3030,2280,5:16:00,210,5:20:00,30570
7758,Carp,2014,6,17,19:55:00,3600,20:55:00,2280,3030,4080,11520,4080,3030,2280,5:16:00,210,5:20:00,30510
7758,Carp,2014,6,21,19:57:00,3600,20:57:00,2280,3060,4080,11400,4080,3060,2280,5:17:00,210,5:21:00,30450
7758,Carp,2014,6,25,19:57:00,3600,20:57:00,2280,3000,4080,11580,4080,3000,2280,5:18:00,210,5:22:00,30510
7758,Carp,2014,6,29,19:57:00,3600,20:57:00,2280,3000,4020,11820,4020,3000,2280,5:20:00,210,5:24:00,30630
7758,Carp,2014,7,3,19:56:00,3600,20:56:00,2250,2970,3930,12300,3930,2970,2250,5:22:00,210,5:26:00,30810
7758,Carp,2014,7,7,19:55:00,3600,20:55:00,2220,2940,3810,12900,3810,2940,2220,5:25:00,210,5:29:00,31050
7758,Carp,2014,7,11,19:53:00,3600,20:53:00,2190,2880,3660,13680,3660,2880,2190,5:28:00,210,5:32:00,31350
7758,Carp,2014,7,15,19:50:00,3600,20:50:00,2160,2850,3540,14400,3540,2850,2160,5:32:00,210,5:35:00,31710
7758,Carp,2014,7,19,19:47:00,3600,20:47:00,2160,2760,3390,15300,3390,2760,2160,5:36:00,210,5:39:00,32130
7758,Carp,2014,7,23,19:43:00,3600,20:43:00,2130,2700,3270,16260,3270,2700,2130,5:40:00,210,5:44:00,32670
7758,Carp,2014,7,27,19:39:00,3600,20:39:00,2070,2640,3150,17220,3150,2640,2070,5:44:00,210,5:48:00,33150
7758,Carp,2014,7,31,19:34:00,3600,20:34:00,2070,2580,3000,18180,3000,2580,2070,5:49:00,210,5:52:00,33690
7758,Carp,2014,8,1,19:33:00,3600,20:33:00,2040,2550,3000,18480,3000,2550,2040,5:50:00,210,5:54:00,33870
7758,Carp,2014,8,4,19:29:00,3600,20:29:00,2040,2520,2910,19140,2910,2520,2040,5:54:00,210,5:57:00,34290
