"","X","model","formula","p.Int.","SEp.Int.","p.julian2Xlat.s.","SEp.julian2Xlat.s.","p.julianXlat.s.","SEp.julianXlat.s.","p.latitude.","SEp.latitude.","p.ordinal.s.","SEp.ordinal.s.","p.ordinal.s2.","SEp.ordinal.s2.","p.temp.s.","SEp.temp.s.","p.tsss.s.","SEp.tsss.s.","p.tsss.s2.","SEp.tsss.s2.","p.tsss2Xlat.s.","SEp.tsss2Xlat.s.","p.tsssXlat.s.","SEp.tsssXlat.s.","psi.Int.","SEpsi.Int.","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","samplenum","duration","X.Error.in.as.ms....data.frame.......n..no.method.or.default.for.coercing..try.error..to..data.frame..n."
"13",7,"Julian.linear","~ordinal.s ~ 1",-40.1387910654081,217.222126405941,NA,NA,NA,NA,NA,NA,-27.8603707483105,155.382222110849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24818751541107,548.110147346633,0,662726.38746699,2.25026820331838,3,23,10.5005364066368,0,0.178846915860718,NA,0.178846915860718,1,1200,NA
"14",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,120,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
"
"15",4,"TSSS.quadratic","~tsss.s + tsss.s2 ~ 1",-6.88047340039322,10.7071304722294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5365066264907,57.3655100520369,51.4150850018578,67.7178855871864,NA,NA,NA,NA,-0.635145709954884,1.00697742060375,1,10512.4706914271,4.02648647504817,4,23,16.0529729500963,0,0.247947540757627,NA,0.247947540757627,1,180,NA
"16",15,"Temperature","~latitude + temp.s ~ 1",-33.2322400740136,42.6439867475361,NA,NA,NA,NA,18.8640885541833,25.3468796533691,NA,NA,NA,NA,27.5905728031505,36.0180273043511,NA,NA,NA,NA,NA,NA,NA,NA,9.16423745627885,69.3929200334654,1,278.753426978529,0.0301672649995017,4,23,8.060334529999,0,0.80935981787818,NA,0.80935981787818,1,240,NA
"17",15,"Temperature","~ordinal.s + temp.s ~ 1",-30.1518929402322,55.3096036824825,NA,NA,NA,NA,NA,NA,-30.3709388149392,56.2697025699122,NA,NA,47.1200989145755,84.8446464291185,NA,NA,NA,NA,NA,NA,NA,NA,-0.410777387685128,0.913962630666781,1,15877.2601347548,3.37771406522733,4,23,14.7554281304547,0,0.299515278639003,NA,0.299515278639003,1,300,NA
"18",2,"Latitude","~latitude ~ 1",-4.63972501402583,10.6600001139323,NA,NA,NA,NA,39.4696051413689,68.999815718402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17505289857305,0.843265577317267,1,7420.85827747464,4.79043556079822,3,23,15.5808711215964,0,0.231611430198047,NA,0.231611430198047,1,360,NA
"19",3,"TSSS.linear","~tsss.s ~ 1",18.0170311650595,19.6868132927481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.1373260723823,20.8935414242423,NA,NA,NA,NA,NA,NA,-0.70308896023188,0.501586891840262,1,3267.34172917687,11.5596168914746,3,23,29.1192337829492,0,0.195960127763,NA,0.195960127763,1,420,NA
"20",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,480,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
"
"21",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,540,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
"
"22",15,"Temperature","~tsss.s + latitude + tsssXlat.s + temp.s ~ 1",-2.33760464537362,0.448471202301616,NA,NA,NA,NA,1.54975178813006,0.485134875650025,NA,NA,NA,NA,0.898785941116111,0.433153266705882,7.94829036033389,3.26914373030085,NA,NA,NA,NA,-8.74782150636913,3.35248433827416,-0.121655749829911,0.559307893356989,0,456.691430496839,43.8889669369258,6,23,99.7779338738516,0,0.639364326960538,NA,0.639364326960538,12,600,NA
"23",4,"TSSS.quadratic","~tsss.s + tsss.s2 ~ 1",-1.56424893509824,0.341651606228956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.70285002291842,0.836486075986418,1.39552553699697,0.926991000018625,NA,NA,NA,NA,-0.555641131378148,0.511627845031931,0,36.0326626624678,51.812967699079,4,23,111.625935398158,0,0.189805185255523,NA,0.189805185255523,12,660,NA
"24",15,"Temperature","~latitude + temp.s ~ 1",-1.59493298432541,0.335395312003011,NA,NA,NA,NA,0.505080373670967,0.377945491892824,NA,NA,NA,NA,0.643556060221507,0.326561879873905,NA,NA,NA,NA,NA,NA,NA,NA,-0.320287868388554,0.506933713095651,0,4.42748889410938,55.8556432872374,4,23,119.711286574475,0,0.382195508907908,NA,0.382195508907908,12,720,NA
"25",15,"Temperature","~ordinal.s + latitude + julianXlat.s + temp.s ~ 1",-1.7815729959442,0.375348238085839,NA,NA,10.1383616746439,4.64547864626551,-7.7001937844326,3.96243843242804,-8.55865522031021,3.91700650903848,NA,NA,0.435259344600267,0.313881230166339,NA,NA,NA,NA,NA,NA,NA,NA,0.131275151789917,0.582524813111999,0,1796.60204601775,63.3419810303251,6,23,138.68396206065,0,0.196234861612692,NA,0.196234861612692,12,780,NA
"26",13,"TSSS.JulianXlat.linear","~tsss.s + latitude + tsssXlat.s + ordinal.s + julianXlat.s ~ 1",-3.04104765645605,0.551990189493441,NA,NA,9.47199522973951,4.98764674757422,-6.69713233080157,4.16529576852611,-7.20255231134923,4.01010765308112,NA,NA,NA,NA,8.29125977374419,4.67065193120741,NA,NA,NA,NA,-8.999244716707,4.59022154632882,0.564118770423099,0.805763285049548,0,1713.23172829934,36.6791842164175,7,23,87.358368432835,0,0.351341660126846,NA,0.351341660126846,12,840,NA
"27",4,"TSSS.quadratic","~tsss.s + tsss.s2 ~ 1",-1.76498270739098,0.339391729897022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.96867844940761,0.690734958208898,1.41260859171459,0.738722534286122,NA,NA,NA,NA,-0.128369482937332,0.508282082328939,0,27.10583213044,55.4077320154155,4,23,118.815464030831,0,0.289659870901633,NA,0.289659870901633,12,900,NA
"28",14,"TSSS.JulianXlat.quadratic","~tsss.s + tsss.s2 + latitude + tsssXlat.s + tsss2Xlat.s + ordinal.s + ordinal.s2 + julianXlat.s + julian2Xlat.s ~ 1",-2.80044824682992,0.571718313420618,15.2226433480196,73.1810993040384,-3.1148023660266,93.7951178159091,-4.4255033698132,41.3136457902075,-18.9836813076871,76.1320892402395,6.85508027721734,74.2488797974202,NA,NA,-19.1648469534216,NA,28.0879504427032,NA,-25.8045610427822,NA,16.1574308108268,NA,-0.250819545509822,0.300489631491815,1,-55983.2994005256,37.3333906428989,11,23,96.6667812857978,0,0.415809026599384,NA,0.415809026599384,12,960,NA
