"","ms.coef","ms.SE","ms.LCL","ms.UCL","samplenum","duration"
"psi(Int)",0.332861630955759,0.559272094745958,-0.763311674746319,1.42903493665784,20,600
"p(Int)",-2.16437266287662,0.29474714960676,-2.74207707610587,-1.58666824964737,20,600
"p(tsss.s)",3.27046094679949,2.40008449111751,-1.43370465579082,7.97462654938981,20,600
"p(latitude)",0.924295814685536,0.292887344891561,0.350236618698076,1.498355010673,20,600
"p(tsssXlat.s)",-3.56842113327042,2.27623135683567,-8.02983459266834,0.8929923261275,20,600
