model,formula,nPars,n,samplenum,duration,duration.min,Predictor,EffectSize,LCL,UCL
TSSS.quadratic,~tsss.s + tsss.s2 ~ 1,4,23,20,360,6,TSSS^2,1.030329829,-0.31832046,2.378980117
TSSS.JulianXlat.linear,~tsss.s + latitude + tsssXlat.s + ordinal.s + julianXlat.s ~ 1,7,23,20,600,10,TSSS*Latitude,-3.134719582,-8.071918643,1.802479478
TSSS.JulianXlat.linear,~tsss.s + ordinal.s + latitude + julianXlat.s ~ 1,6,23,20,900,15,TSSS*Latitude,0,0,0
TSSS.JulianXlat.linear,~tsss.s + tsss.s2 + latitude + tsssXlat.s + tsss2Xlat.s + ordinal.s + julianXlat.s ~ 1,9,23,20,3600,60,TSSS*Latitude,-3.361502655,-10.84547139,4.122466082
Temperature,~ordinal.s + latitude + julianXlat.s + temp.s ~ 1,6,23,20,180,3,TSSS*Latitude,0,0,0
TSSS.quadratic,~tsss.s + tsss.s2 ~ 1,4,23,20,360,6,TSSS*Latitude,0,0,0
TSSS.JulianXlat.linear,~tsss.s + latitude + tsssXlat.s + ordinal.s + julianXlat.s ~ 1,7,23,20,600,10,TSSS^2*Latitude,0,0,0
TSSS.JulianXlat.linear,~tsss.s + ordinal.s + latitude + julianXlat.s ~ 1,6,23,20,900,15,TSSS^2*Latitude,0,0,0
TSSS.JulianXlat.linear,~tsss.s + tsss.s2 + latitude + tsssXlat.s + tsss2Xlat.s + ordinal.s + julianXlat.s ~ 1,9,23,20,3600,60,TSSS^2*Latitude,7.605384209,-1.550164207,16.76093262
Temperature,~ordinal.s + latitude + julianXlat.s + temp.s ~ 1,6,23,20,180,3,TSSS^2*Latitude,0,0,0
TSSS.quadratic,~tsss.s + tsss.s2 ~ 1,4,23,20,360,6,TSSS^2*Latitude,0,0,0
TSSS.JulianXlat.linear,~tsss.s + latitude + tsssXlat.s + ordinal.s + julianXlat.s ~ 1,7,23,20,600,10,Psi,0.324031042,-0.762024319,1.410086403
TSSS.JulianXlat.linear,~tsss.s + ordinal.s + latitude + julianXlat.s ~ 1,6,23,20,900,15,Psi,-0.137725769,-1.009986732,0.734535193
TSSS.JulianXlat.linear,~tsss.s + tsss.s2 + latitude + tsssXlat.s + tsss2Xlat.s + ordinal.s + julianXlat.s ~ 1,9,23,20,3600,60,Psi,0.852912436,-0.05274867,1.758573542
Temperature,~ordinal.s + latitude + julianXlat.s + temp.s ~ 1,6,23,20,180,3,Psi,-0.388782387,-1.583694728,0.806129954
TSSS.quadratic,~tsss.s + tsss.s2 ~ 1,4,23,20,360,6,Psi,-0.058341451,-1.097175817,0.980492915
