"","X56","X74"
"(Intercept)",-66.1478814244113,-24.4938920401334
"CIVIL.1",78.0693351814718,-11.7772251949227
"NAUTICAL.1",-165.334348574248,16.6851140483413
"ASTRONOMICAL.1",14.1786060751472,-12.8758056027047
"NIGHT",40.0127543365856,10.5476389976417
"ASTRONOMICAL.2",49.060154772551,18.6028323418207
"NAUTICAL.2",9.05106651367816,28.447418118072
"CIVIL.2",19.9186511665887,14.7034619874867
"AFTER",-150.370691434138,-13.0349703251355
"LAT",-6.57805113982624,-6.85396312252978
"LAT*CIVIL.1",-96.3502565183092,-1.35354267623012
"LAT*NAUTICAL.1",243.322341828181,5.79539781228925
"LAT*ASTRONOMICAL.1",60.5666155459176,34.9085271941393
"LAT*NIGHT",35.6662920983295,12.8733510732646
"LAT*ASTRONOMICAL.2",24.1790562660989,3.63190414781358
"LAT*NAUTICAL.2",65.8224314826948,-7.86373085190205
"LAT*CIVIL.2",55.989181410603,8.46442039761638
"LAT*AFTER",91.9992158141534,16.7682961199433
