"","X2","X5","X8","X11","X12","X18","X19","X20","X21","X24","X29","X33","X34","X40","X44","X48","X51","X52","X53","X55","X56","X60","X62","X63","X64","X66","X68","X70","X71","X78","X80","X83","X88","X89","X90","X92","X95","X100"
"(Intercept)",-25.0021323874606,-22.9286972232278,-24.5186566177012,-23.8300063593008,-24.2688649555129,-24.2843338620236,-31.0769514684068,-30.4077953434942,-27.7701311081993,-36.1490407769135,-34.1079673727355,-23.8840612254982,-24.8046142460763,-32.4330942752718,-25.2565777292112,-23.9251790431086,-24.875454023168,-23.9905439219343,-22.7918235416507,-23.7056385514488,-23.0797073695721,-23.8323170094506,-23.6648616591193,-28.3961483972502,-26.2379767182666,-25.494421551469,-24.2768276665222,-26.2076262701762,-20.7227882408486,-31.6181877317836,-27.9935951540885,-24.0290172143769,-25.7342045080201,-24.0534918143094,-25.6486623593889,-29.8864242380362,-25.7533372092103,-22.4090442305678
"CIVIL",18.8245449034789,19.7056926108782,20.0878969381683,20.7297126996732,20.8503322343614,19.4616157359578,23.969117328971,21.466767872526,17.0713718740867,32.6204688569463,27.7476263348768,17.9711657330286,19.5174407352817,24.4819562781477,21.20783746088,19.5094289891914,19.1415593141029,20.6024470277717,20.0405908520777,19.4417021848613,20.3221203035588,19.5552764531569,18.8670127740707,17.0810201715774,21.2157480490862,21.1764159079416,15.2938962801381,19.0780612135055,17.789455914192,23.4633734323328,20.2397126636658,21.3673065913905,22.6495528476712,21.1589036913293,21.2922185459577,19.6889094947011,20.849327554081,16.7810972984591
"NAUTICAL",20.1696378371323,19.7125506859365,20.6245895447992,20.8300121760158,20.063002387156,20.2352771843886,27.3200099128844,22.6992587502153,19.3946321076415,33.9759835220565,31.8110526388047,20.1222899216638,20.2307274529438,24.1903045053217,20.3661744915808,20.1418521095423,21.2338285847884,21.2241110098041,20.2027355025221,20.9572900452545,20.0601124211295,19.7232895066716,21.6744693314129,19.6347377788835,21.9649738320744,20.7334535571524,15.1532260912901,18.7247545253118,17.2213694463245,22.8639189393104,19.8356478453698,21.1716060789268,21.9246241586484,21.229195915805,19.5562428406948,20.4083250502635,21.5526946922266,18.1688368321907
"ASTRONOMICAL",20.4076093439072,20.0989433712998,20.6074604868599,20.2662512439091,20.5454376908194,20.8736497540134,28.2314027222502,22.4061219356196,19.6542828286644,32.9371493260484,32.1794804454678,21.712109404229,21.1941171686695,24.1077908286781,21.3895088314658,19.5939170879563,21.1385080737887,21.0979851292497,19.5359210216886,20.8132129786898,20.3903141869944,20.0288491430821,21.3482407830447,19.6514918723194,21.282972138458,21.9106885078647,16.1352916995254,18.6571474252665,18.6208183119935,23.9471970543156,19.6350563473767,21.5987441879623,22.2144107141344,19.6065664018239,21.9219279490022,20.7464855041202,22.009505299359,18.4842642391541
"NIGHT",19.957967223349,20.5284567262979,21.3211562704134,21.6014725160439,19.8178678029439,20.5926387661341,26.2583943297416,22.4973909474281,19.4085536692779,33.1564244748148,30.9992272644799,22.1327302134987,21.169216076087,24.3005515847318,20.476596193554,20.2010202991655,20.7762625468634,20.4291057835216,19.9937288103737,21.6857017180648,20.2858041878576,20.3985410713021,18.447076043568,19.6483964143068,22.823677533737,20.9136250722451,15.8681599082268,19.8529182947357,17.8517123621507,22.0281538848105,20.3892211126128,21.4965576476686,23.2316723258662,21.995847292285,21.7290797008049,20.9488297775681,21.0961323721294,17.6639088783879
"AFTER",-54.8973737576638,-1.31673523273402,-23.7679040841992,1.00540228601883,-12.6262067072279,-18.3255722789496,-31.0193357724022,-146.426103374205,-289.702439647248,10.2071644277862,4.38486310812803,3.90381921738465,-29.2437795333527,-269.184410038777,0.717736392705732,-25.6129807839825,-34.8223010856331,-5.5265082716821,-1.69024585495943,-16.5315097742583,-7.1107192724982,-19.5367812451367,-0.0365756502913957,-217.27077090696,-20.6305008070557,-10.8442228786625,0.00878344783047083,-20.481214430298,0.0063440292238031,-204.24131566037,-163.312251419305,-10.8418840721151,-97.970840092299,-3.60206552413392,-9.3644964629806,-168.020096090117,-16.2757766114144,0.00999544822028906
