"","X1","X3","X4","X10"
"(Intercept)",-38.7014365892564,0.508661486613396,-33.3334908693561,-30.2317026652463
"CIVIL",17.9403493882739,22.8628597812411,27.2022884549573,27.0451530099513
"NAUTICAL",21.2657726670617,23.5867776531701,28.0070604413261,28.6164395352491
"ASTRONOMICAL",21.0308927171243,23.6538196828595,28.9324329313894,28.0678470570313
"NIGHT",19.8989548923378,24.0959019467969,28.6313240937923,28.0517847733432
"AFTER",16.5105769277932,19.2056667672303,23.4691140085443,23.0389174797393
"s(ordinal.s)",-4.03043090950928,5.20862553654848,-1.54788185901208,-0.452778093707046
"s(ordinal.s2)",16.7688836194197,-26.8378547243351,2.95668814863585,-0.0814028153961578
