"","ms.coef","ms.SE","ms.LCL","ms.UCL","samplenum","duration"
"psi(Int)",0.839010944150055,0.627575902919267,-0.391037825571709,2.06905971387182,20,180
"p(Int)",-2.10640263068098,0.244442618135498,-2.58551016222656,-1.6272950991354,20,180
"p(latitude)",0.610053944053186,0.192034984015627,0.233665375382556,0.986442512723816,20,180
