"","X","siteswithbooms","probdet","samplenum","duration"
"Sampled_20_Intervals.TempSunMoonBoomDetections.10min.int.csv.csv",1,14,0.608695652173913,20,600
"Sampled_20_Intervals.TempSunMoonBoomDetections.11min.int.csv.csv",1,15,0.652173913043478,20,660
"Sampled_20_Intervals.TempSunMoonBoomDetections.12min.int.csv.csv",1,16,0.695652173913043,20,720
"Sampled_20_Intervals.TempSunMoonBoomDetections.13min.int.csv.csv",1,17,0.739130434782609,20,780
"Sampled_20_Intervals.TempSunMoonBoomDetections.14min.int.csv.csv",1,15,0.652173913043478,20,840
"Sampled_20_Intervals.TempSunMoonBoomDetections.15min.int.csv.csv",1,13,0.565217391304348,20,900
"Sampled_20_Intervals.TempSunMoonBoomDetections.16min.int.csv.csv",1,15,0.652173913043478,20,960
"Sampled_20_Intervals.TempSunMoonBoomDetections.17min.int.csv.csv",1,16,0.695652173913043,20,1020
"Sampled_20_Intervals.TempSunMoonBoomDetections.18min.int.csv.csv",1,16,0.695652173913043,20,1080
"Sampled_20_Intervals.TempSunMoonBoomDetections.19min.int.csv.csv",1,14,0.608695652173913,20,1140
"Sampled_20_Intervals.TempSunMoonBoomDetections.1hour.int.csv.csv",1,17,0.739130434782609,20,3600
"Sampled_20_Intervals.TempSunMoonBoomDetections.1min.int.csv.csv",1,6,0.260869565217391,20,60
"Sampled_20_Intervals.TempSunMoonBoomDetections.20min.int.csv.csv",1,16,0.695652173913043,20,1200
"Sampled_20_Intervals.TempSunMoonBoomDetections.2min.int.csv.csv",1,15,0.652173913043478,20,120
"Sampled_20_Intervals.TempSunMoonBoomDetections.3min.int.csv.csv",1,13,0.565217391304348,20,180
"Sampled_20_Intervals.TempSunMoonBoomDetections.4min.int.csv.csv",1,12,0.521739130434783,20,240
"Sampled_20_Intervals.TempSunMoonBoomDetections.5min.int.csv.csv",1,13,0.565217391304348,20,300
"Sampled_20_Intervals.TempSunMoonBoomDetections.6min.int.csv.csv",1,12,0.521739130434783,20,360
"Sampled_20_Intervals.TempSunMoonBoomDetections.7min.int.csv.csv",1,14,0.608695652173913,20,420
"Sampled_20_Intervals.TempSunMoonBoomDetections.8min.int.csv.csv",1,15,0.652173913043478,20,480
"Sampled_20_Intervals.TempSunMoonBoomDetections.9min.int.csv.csv",1,13,0.565217391304348,20,540
"Sampled_24_Intervals.TempSunMoonBoomDetections.10min.int.csv.csv",1,16,0.695652173913043,24,600
"Sampled_24_Intervals.TempSunMoonBoomDetections.11min.int.csv.csv",1,17,0.739130434782609,24,660
"Sampled_24_Intervals.TempSunMoonBoomDetections.12min.int.csv.csv",1,16,0.695652173913043,24,720
