"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"(Intercept)",-0.389365671308068,-5.67159589803371,3.76669814375502,-9.99608864258695,-1.84827364104329,-0.161103482754307,-1.22513290650177,-4.31886315318776,-8.45201328913822,3.44146626940953,1.68193289096962,-15.536445489394,-2.77671995052327,-2.12797800033873,-2.65948876741881,-3.286428646207,-3.585467510563,-4.04887166804224,-5.29812042828835,-2.10051338743369,-6.24700645099417,-4.5069455582241,6.35512432319281,-7.96975987175276,-3.89047664515236,-13.5756005493391,4.00722082323225,-5.22134725576414,-15.7316421759516,-2.93364459278777,-16.7010519669363,-3.33862257834576,-7.68428320168704,-8.28990990949158,-6.88757413079203,-4.22606943458623,-3.01851923282633,-6.76507493943443,-4.31089162024937,-6.50326840100075,2.19972934069418,1.24115655383097,-6.92930925980463,-3.07603547088869,-2.43613793209445,-5.22729331687757,0.545899774076129,-3.48329072132344,-1.69772308177153,-5.08453722265097,-0.591036256446933,-1.82887453299362,0.73502856753793,-8.451767488386,-5.0164006565557,0.161143077199695,-4.50001187238333,-6.24045682219639,-2.17937351080684,-3.03161751763356,-8.63528091970811,-3.0855600102596,-1.61947620756934,-7.85385618064856,-5.73817064156962,-4.76308915284471,-3.81106996921518,-3.94017443283173,-2.25647771057607,-6.60199187618788,-2.06220412362756,-0.0734848945548532,-3.3856164580698,-1.94452198986173,0.124649622836443,-1.63525087598209,-1.74142244986613,-2.66346489535481,-2.86521198341362,-3.35465362195731,-3.63882125401304,-1.7491574573936,-3.91543676515666,-5.73899372931386,-8.1412836379449,-3.02965844687444,-6.00114067962305,-2.45664151789761,-1.62940994083315,-2.47459415795586,-5.58905577467787,0.0909388341106133,-2.68273422655475,-10.4635492535596,-5.99380158133264,-1.7277868813703,-0.162574611556844,-5.9479127057083,-0.0653670327904786,-3.80602266386154
"latgroupNS",-4.46303719705347,3.20492338744358,-6.54463078398394,-1.13993919158129,-1.3328461052024,-3.87866867584387,-4.39976184527328,1.4366555123611,-0.569036321421926,-7.16827294401136,-5.27061612463251,12.1762940682294,-5.49426623555698,-4.66220237626669,-0.596783358463785,-0.296287175727914,0.35175767110512,-0.472036170615276,1.0170349131338,-0.761434861656369,2.92512260624342,-0.130350154246578,-10.0478941860201,4.23516273842738,-0.182741089358058,10.7188307853767,-7.82474976209841,-0.152689549911247,11.6059098008255,-1.13095478056039,8.11902999302264,-0.877638949782525,4.20162178018639,4.93523571564832,4.28065255510405,0.21913798269331,0.740095248253431,3.80944817813739,1.14346786618081,3.11942072000922,-8.19212990678747,-4.67578254911707,2.1097401120594,0.272416159041953,0.0645156303469184,-1.0734853076563,-2.91864044120975,1.61285692568491,-1.21584179143543,1.96319467767365,-4.09551889295641,-1.41167239367329,-3.79402122647315,3.52841864792082,0.438039348871368,-3.49178675800055,1.08619625772578,2.13413788347391,-1.54295848273601,-2.08069531195721,-3.42388698086285,1.09165351626113,-2.29954439419068,1.64306368003399,0.568309094454795,1.42803499968203,0.335287347232063,0.719791323954393,-0.657964145346931,1.13405592875737,-0.872480830038344,-3.49910969194873,-0.13901650588889,-1.49499367392771,-3.4116390246435,-2.42697556786458,-2.95618674665064,-0.043338675632306,-4.10277659956118,-3.07414367430527,0.038491125930766,-0.630682963526588,1.51023106195445,0.658003363089479,3.58178084063878,-0.616615164654804,2.6352204050511,-1.84362881584735,-2.78918104368434,-2.46398057932606,2.64341907717293,-4.18209001363596,-1.14072101935518,6.90570044650637,2.84179488294453,-0.764520056451609,-11.1838241187133,-1.18889468622548,-3.37685303823273,0.889819931942597
"s(meantemp.s):latgroupNN.1",-2.38348728313842,3.93971086247746,1.94398063305632,2.63356415635763e-06,4.45416854962909,-0.00026032203789667,1.50859137079511,22.6892764967102,66.6233594019916,6.27442852345808e-07,2.79575548483796,-2.2703109863006,5.44017785581944e-06,-0.23711574230319,-0.000173939457890066,5.45426652255863,45.0976708019505,4.059029766576,3.46032163174326,2.31619644012664,5.84940026050426,2.67511595337265,0.359497951223831,-4.99827406209207,0.246354332300627,2.92737409537437,21.3866259129532,47.9497164260331,1.7714394914294,1.16865634903182,295.581286778975,0.44556938297387,4.95957778620553,-1.00078278600706,5.71636112708043,0.325620932005918,28.1873335238132,-5.59800500257613e-08,-1.47401784122696,2.35353959541243,1.97413448561304,7.34728370572957,0,-4.52131972196363,-0.192516936980245,7.49099216159526,1.73543920425965e-06,0.930699227100245,-0.150773009676071,-3.07494164359113,15.6960994361223,6.15882478905051e-06,3.37257591008679,6.43470834728302e-06,0.00110999491213477,103.190915273558,30.2172774057022,-2.81247114122617,1.05675794238497,2.7020401692939,1.51954649366023,2.00910782607015,1.27779458467556,0,6.73173232258809,1.38916128478571,5.5367654818615,-2.75491675404826,16.5203470844135,1.66621910118655,2.25444745026798,1.81445598401216,-2.11548501404719,-2.82827239673585,0.374283123225061,0.000546512500354543,0.952237225885209,1.70560054512799e-05,1.34895014273781,0.000776317289648429,2.30565321095566,5.90175094567419e-06,-4.47363074626199e-09,-1.21089979835183,0.0710579421411612,12.1921719263797,18.0986056439056,1.55057144111672,1.18568200219266,-2.38663910780523,2.0911196798974,0,0.252235838454508,-6.35901556329551,-7.27498280074239e-05,2.74902995207388e-05,-3.62834773657459e-09,16.434828152436,3.24950711427435,11.6439035975842
"s(meantemp.s):latgroupNN.2",-0.480895277303563,3.61252504823407,1.6022481259888,1.43131019030269e-06,3.55910802805835,-0.000252291208793135,0.189947783838729,21.1080423816523,47.4868201152106,7.45906447993602e-07,2.87596740242896,-2.97652116698627,4.70261015441362e-06,0.331463472615595,-0.000152761212456807,5.37517804052726,30.2184200508234,3.26935298350298,3.64409704204736,1.95551973007066,5.08104029100978,2.03643962144695,1.84088769963006,-6.42742765072825,0.175493015125737,0.951212722654669,12.8916922236024,35.4978608902091,1.1064625081045,1.30791915833392,198.373055036979,0.538246300760288,2.17140718660335,-0.439928411271885,4.01867313071437,0.28539115568891,15.4551549000439,-3.77217818098355e-08,-0.698400404469944,2.21090245087517,1.63883671361211,5.38572590651649,0,-2.13866522018208,-0.178739644240384,4.0259281115151,1.21174443970796e-06,0.803023593029497,0.220166857595474,-1.62595450338569,7.52938501487587,3.78404798831107e-06,2.55350019794815,7.45662490629669e-06,0.0012403998991608,84.3443262366432,16.3074961676747,-1.76096876694531,1.10434409375982,2.41879562870878,2.21820474300993,1.96478455086217,1.20513026860872,0,6.82895159632821,-0.00775963014354986,2.75911562695582,-1.796448311934,13.5812122752012,1.28636169638177,2.84443388124065,1.07231972086371,-0.569066795277299,-2.32909261832332,0.359029298401757,0.000830387966755364,0.969091376352439,1.84781892895661e-05,1.23251162654481,0.000706861345333662,1.24835278410577,3.96779861403221e-06,-3.5324669368328e-09,-0.999041342022129,-1.18561263611057,5.48293482361847,10.5612443021066,-0.0859999425693352,1.30827245213291,-1.90395794616359,1.49408129418136,0,0.201874497378478,-3.06901864350035,-7.66898263767904e-05,2.7316538484443e-05,-2.49251637212458e-09,11.352772884837,1.42891350564462,10.2332048902812
"s(meantemp.s):latgroupNN.3",3.35670820980901,0.701243677973703,1.78522350922814,-5.20068673514699e-07,8.01796766588409,-0.000234368370053943,-4.77701190496388,26.54389718378,-19.2663652100771,6.39088577924823e-07,3.91280456293262,-4.02345562182984,3.82655561984726e-06,2.48776930839387,-0.00016086245527915,6.77886359216897,21.1185498641351,2.3545124935576,3.29439873528017,2.62184143297301,2.4553427706723,0.52928041260188,7.87964881532723,-271.028910380561,0.25405619589998,3.84984945923636,8.16540532640808,-17.8984715135586,20.9698428039434,2.23642342030948,87.8349283847868,0.537252687723269,-4.21924023367141,2.28111614411261,5.07362042340384,0.558147791989144,9.84244066026461,8.12741364226295e-08,3.26999007527283,2.94065849969385,1.81989445520602,-19.2292759669905,0,-2.38764309734075,-0.184078541285708,-9.25433644502852,2.00158160270797e-06,1.05099921300983,1.58976432643478,1.6227081454006,8.61728907150906,5.13339804466511e-06,3.20836516126796,1.55687468577132e-05,0.00133880188584411,34.2873630504356,-2.11071207832174,0.794595562385405,1.30882629140713,2.23381030218464,3.72709392749738,2.06313334430667,1.24527330709977,0,8.49582024331772,9.18761436335267,-19.1970137653972,8.88635296488838,14.8864171910294,1.52648749691021,3.93259172279513,-1.24127081340338,7.2749741937964,-2.93775682794545,0.40421323908059,0.00175344388918361,1.43145273048977,1.70027979642297e-05,1.19918955712175,0.000946797286089398,-1.05972001620655,3.53538516858283e-06,-2.5311491163384e-09,-1.31339451662312,13.4408053104267,14.87971322682,-21.9935917777828,10.4095335030035,2.14392999728969,0.377854546486871,-2.88410537500941,0,0.30527830729897,1.63025664337972,-9.05417658592959e-05,3.43787526582763e-05,-1.17180988063935e-09,-19.3245069866321,-2.38111503469509,-2.50528677623015
"s(meantemp.s):latgroupNS.1",-3.46947062012891,-2.13667814503485,-0.181277021716471,0.58293763462734,-2.9182415886005,2.68741395014366e-06,13.3417912440275,-2.44154428503837,43.6941030084774,-7.1419089186534,2.25602300249785,1.42641146242305,-0.801117306664435,2.70988623643452,0.350594487920698,5.608901078438,1.54405934362093,-4.20424198260091,-2.01436214414218e-07,1.47206377025318,1.54138606431806,8.27958894088831,-2.80699723644162,1.93472800612742,4.6887746929497,-0.209202788726406,8.1907348223306,-1.06778929055611,5.45753424418289,-3.17755345964839,5.74557786887984,1.78305654571484,2.64180704452701e-05,0.742500855413698,11.9393738155754,17.6593701271828,-0.201988166014859,0.825919558799905,1.42486726696964e-07,2.22909847837387,4.97661372116507,-0.96622726744282,-10.0002238627541,7.79303610437739e-07,-3.2920430357235e-06,-0.193816099382378,2.07548581065158,-0.599450943669265,0.538487599307177,-0.038716516063569,-0.30790002982623,11.0038005841255,0.617817282150808,-1.15946612798558,8.79007375160456,5.70875365536275e-08,-2.66863557081261,1.11980852238269,16.7647117336566,1.43781587851267,-16.2335013611266,0.0398348406955277,0.545014473874545,0,3.70263033665494,12.1604972369318,-6.75921022542298,-1.99656112707497,1.44687676488388,78.8944882871426,0.530727409857656,-3.45525372855944,-0.139599270266354,-1.28451395854899e-06,0.0001552544034873,-4.00367292818176,-5.25271537485522,1.37617328477882,-2.04526355589351e-05,-21.4317120448578,9.71015206359416,2.06359557695498,-9.64100494484353,5.7709451492637,2.43681959821064,6.9321330651898,-3.12846338028555,9.37373777138893,-0.132505302739846,28.9480000202179,6.78217316267125,0,16.4885423462197,-11.2845313557177,2.76079982663259,-2.96621315297357,-4.84102237493236,3.62812197201904,9.68586690716008,1.10265526885912e-05
"s(meantemp.s):latgroupNS.2",-1.40152621793529,-0.545166291554489,-0.172639306361905,1.53586180050786,-0.262956635812522,2.67471310828546e-06,11.9304789250894,-2.2924853735192,28.749165676568,-4.55692670408137,2.59230990510571,1.61052649059589,-0.856269742198093,2.59106433607734,-0.481572198543769,4.52213207302055,1.01802565313539,-0.0481196154460166,-5.80766815129075e-07,1.24320409325038,1.34642281349726,5.2703978947358,-1.98780523326825,2.53260664797761,2.12121222740259,-0.216074604860393,5.68464685502537,-1.02148467986388,3.80236424435058,-1.47002761282405,5.03329490898284,1.92232587515027,2.1268617775788e-05,0.802288751306244,4.8906694820747,9.06632558574763,-0.932752940993831,0.472990694636517,-5.94791137358729e-08,1.7091685145094,4.71079035243406,-0.457263028306756,-6.65158255622958,9.67245639318312e-07,-2.94326481486739e-06,-0.182843992855214,1.35121179704791,-0.540835757912808,0.664086423554375,-0.0361223238235742,-0.262741301030446,4.03989772160159,0.458849791435305,-2.34355533737069,5.59909962468594,6.78447510965428e-08,-1.47417530587943,1.15245911075628,12.4730352855424,1.56437107567664,-10.4897553067365,0.626035829562211,0.512332780145264,0,2.70883643617159,8.88783212802001,-2.54001394409883,-1.22679361556602,1.11897453718184,46.3788709265647,0.695150623443622,-2.06611915649785,-0.102218602603035,-1.08264502683202e-06,0.000160613203869442,-2.85614892869326,-4.18959080493245,1.38868832508167,-2.44525172686016e-05,-12.7292417041809,7.59055586113505,1.33416328548606,-4.70003226511445,3.93052250127711,2.28185885966555,3.55936840948052,-1.9736938774305,6.13778976957644,-0.134231141951114,24.9500968531573,5.64647203183495,0,7.44817551494987,-6.11545533165037,1.89967179554761,-1.07215526594591,-4.70068353009174,3.60328344233439,7.86986492793414,1.0257436881733e-05
"s(meantemp.s):latgroupNS.3",-1.67019469661791,-1.00670484764473,-0.245651639543135,-41.7435981433168,-12.397096094797,2.78592039001742e-06,-5.12629767043977,-3.12823986949946,6.21703733512837,-2.8983613513948,-2.63450990750684,1.38031742569789,-1.42815545641901,-1.03065946294902,-10.6369927274687,0.0783146265320518,-0.644638142319458,-11.6906281923368,-3.53595455597354e-06,1.76726181386275,0.53210504086387,4.77846432894462,0.807617443374259,-3.89478242188923,-2.44708527757629,-0.244108505596738,-4.26364757664666,-1.68350291920441,-4.36126843850995,-9.92872324399177,-1.01906466313584,-0.724190804185061,2.63259481848431e-05,-11.1308297089926,3.20878250103659,6.56410375447953,-3.36515153841043,-1.80702965753077,-1.38766347028545e-06,-0.351682865905618,-4.51323707060654,-9.51625882766883,-1.61103220406231,1.83806149327729e-06,-3.00032902527656e-06,-0.240834631860854,1.22325159238496,-0.823833794681236,1.0326108435196,-0.0575846806268123,-0.337239194456402,3.9255099164059,0.566118775644435,-0.205799616282689,-7.00263185617538,6.65656984675862e-08,1.12653132050993,2.0425517962398,1.29985854674551,2.66605232583371,-21.058169521228,-1.52609526383516,0.513647924202641,0,-4.09271734723113,2.8599690984766,-16.6684651827472,-7.61111425049432,-2.91223145962803,15.8044322358302,1.15468640235725,-12.1329222649097,-0.175556267284879,-1.71888506089591e-06,0.000229545531166613,-3.51402368912932,1.05355076044941,-0.602604826241421,-4.24474580339448e-05,-11.4618387819017,1.19072345160047,1.11069565149526,-10.5419852761554,-1.82176078360743,-0.147738171097973,2.39973081094609,0.0340017893573423,-7.42839893917749,-0.166199721927766,-6.89893063874699,-5.07747778870329,0,1.29473419375711,-10.2166834955455,-9.23970810618085,-5.26722971227618,-0.540510881354482,5.29961797166423,-1.93249316436642,1.24031758728582e-05
"s(ordinal.s):latgroupNN.1",0.0213940222295051,-4.7847115069068,-0.329938950346625,0.122330595994903,0,4.64750364896058e-06,1.86158307722042,-4.56937847100919,1.04703026699798,4.15124755824327,9.66491320857758,6.30741662719221,1.7609631172551,-1.99258668566796e-07,4.56796769976495e-05,-2.10850449436043,1.00670720056108,-1.1685273287748,-0.51588292954363,-0.326586880449092,-0.57358393157795,0,-3.83203752148822,4.70384581369899e-12,2.56199978224984,-0.23410890811358,6.76141031887651e-10,-1.39996750644896e-07,2.42810248481351,0.375394532643044,16.8385059172427,1.46646765035551e-06,6.15949174147296,-0.246951475495841,0.63405196357644,-0.639168469989704,1.05544052809611,-0.0112997217200036,-0.00151078822492487,0.670300656127385,-0.484223830386952,1.45352727274581,0,-0.854297678869971,-0.297323255690138,2.58467363032617,1.91180993826595,-0.597900996524806,-0.225427161255476,6.81421713064627e-07,2.63646785708467e-09,0.420959046238284,-1.99967061446844,-0.00350974530891568,0.478798215591108,-2.12463599155426,0,-0.00117981679713789,0.0768235440319023,2.81891816737997e-06,-0.557745825660275,0.392995280039176,0.165448980498609,1.03332872736546,4.02103646950543,1.05878510506841,3.98198186712422,-0.983025925847924,0.773225318101141,3.45194448416619,-0.928841667288661,0.177357575005233,0.396894787530111,1.8704520932146,1.39659784482856,-0.968098037455867,-0.182111835493783,1.60843145055743,0.0701243156846897,1.49024707082674,1.1750885136854,1.67330460838947e-06,1.16489129150487,3.87038860628718,0.629136852407112,2.40390835061899e-08,0.37031965596856,-0.347422494039036,-0.546741995900741,-0.459950632956559,-0.309688424834935,0,-0.290379244038555,0.00281262468384561,-0.303460674940435,0.000287238544762545,-0.121090273338118,3.67757162239448,-7.63146839286221e-08,1.37229123021488e-06
"s(ordinal.s):latgroupNN.2",0.0362759548026175,-2.02681079638157,-0.86772403816382,0.164426667618389,0,9.99294555210691e-06,0.432375873092231,-14.6952321104231,1.93688454400694,-0.716368398458347,12.7502980272234,1.35892109037455,-0.239752432660774,2.94891521832923e-08,8.17557773773233e-05,-2.40689064123466,1.85925224310848,-0.0220647524645933,-0.688512694341348,-0.721094034709964,-1.65043232874197,0,4.25965576672321,6.52639018042996e-12,-1.34636316555176,-0.572122938114828,1.16011982675305e-09,-2.54272116314474e-07,-7.82631162598813,0.583405331078701,7.65116249842095,2.79856690951192e-06,-6.65906686727594,-0.513628667918506,-9.56950467744099,-0.958912748439431,-1.51458890765993,-0.0288748670020325,-0.0039149301379082,1.17782122796561,-2.4038258907498,0.39893317510794,0,-1.42680172474576,-0.653753410540444,-1.11883725255295,0.484888503180286,-0.981239895973212,-0.518255309073465,1.0677482343427e-06,1.39793691609933e-09,0.543706563018598,0.76595493272379,-0.00430568318791055,0.60793839035061,-2.57386243488545,0,-0.00179326922235614,0.126864645200143,2.61699887399162e-06,-1.19704307406767,-3.98944269049804,0.469197153777035,-1.14335141845148,-5.71260629631441,-3.05774134160014,0.0607415277152878,-1.56873714228341,-0.934352885691439,-5.4771043433686,-1.27804110291275,1.51894194426863,0.830542624442148,1.57248340958105,-0.414040241665832,-1.74600304185912,-0.300182306301405,-2.09776798084671,0.200417559486962,-1.18932881598697,-2.25973379352801,8.06663146501019e-06,-1.16005503081163,-0.0864696378289489,-7.66680090485841,2.50581519387724e-08,0.714453305978344,-0.725171560979212,-0.974081673269211,-0.787393976056174,-0.306296059078157,0,-0.750127739017991,0.00427494078499508,-0.322968197458262,0.000374747006307423,-1.17534951840291,2.05684270565232,-6.51004180646575e-08,2.12939074746324e-06
