"","sm_id","intervalsP","numdetect"
"74",7524,"2014-06-06 02:17:00 CDT--2014-06-06 02:27:00 CDT",0
"75",7524,"2014-06-06 02:27:00 CDT--2014-06-06 02:37:00 CDT",0
"76",7524,"2014-06-06 02:37:00 CDT--2014-06-06 02:47:00 CDT",0
"77",7524,"2014-06-06 02:47:00 CDT--2014-06-06 02:57:00 CDT",0
"78",7524,"2014-06-06 02:57:00 CDT--2014-06-06 03:07:00 CDT",0
"79",7524,"2014-06-06 03:07:00 CDT--2014-06-06 03:17:00 CDT",0
"80",7524,"2014-06-06 03:17:00 CDT--2014-06-06 03:27:00 CDT",0
"81",7524,"2014-06-06 03:27:00 CDT--2014-06-06 03:37:00 CDT",0
"82",7524,"2014-06-06 03:37:00 CDT--2014-06-06 03:47:00 CDT",0
"83",7524,"2014-06-06 03:47:00 CDT--2014-06-06 03:57:00 CDT",0
"84",7524,"2014-06-06 03:57:00 CDT--2014-06-06 04:07:00 CDT",0
"85",7524,"2014-06-06 04:07:00 CDT--2014-06-06 04:17:00 CDT",0
"86",7524,"2014-06-06 04:17:00 CDT--2014-06-06 04:27:00 CDT",0
"87",7524,"2014-06-06 04:27:00 CDT--2014-06-06 04:37:00 CDT",0
"88",7524,"2014-06-06 04:37:00 CDT--2014-06-06 04:47:00 CDT",0
"89",7524,"2014-06-06 04:47:00 CDT--2014-06-06 04:57:00 CDT",0
"90",7524,"2014-06-06 04:57:00 CDT--2014-06-06 05:07:00 CDT",0
"91",7524,"2014-06-06 05:07:00 CDT--2014-06-06 05:17:00 CDT",0
"92",7524,"2014-06-06 05:17:00 CDT--2014-06-06 05:27:00 CDT",0
"93",7524,"2014-06-06 05:27:00 CDT--2014-06-06 05:37:00 CDT",0
"94",7524,"2014-06-06 05:37:00 CDT--2014-06-06 05:47:00 CDT",0
"95",7524,"2014-06-06 05:47:00 CDT--2014-06-06 05:57:00 CDT",0
"96",7524,"2014-06-09 22:12:00 CDT--2014-06-09 22:22:00 CDT",0
"97",7524,"2014-06-09 22:22:00 CDT--2014-06-09 22:32:00 CDT",0
"98",7524,"2014-06-09 22:32:00 CDT--2014-06-09 22:42:00 CDT",0
"99",7524,"2014-06-09 22:42:00 CDT--2014-06-09 22:52:00 CDT",0
"100",7524,"2014-06-09 22:52:00 CDT--2014-06-09 23:02:00 CDT",0
"101",7524,"2014-06-09 23:02:00 CDT--2014-06-09 23:12:00 CDT",0
"102",7524,"2014-06-09 23:12:00 CDT--2014-06-09 23:22:00 CDT",0
"103",7524,"2014-06-09 23:22:00 CDT--2014-06-09 23:32:00 CDT",0
"104",7524,"2014-06-09 23:32:00 CDT--2014-06-09 23:42:00 CDT",0
"105",7524,"2014-06-09 23:42:00 CDT--2014-06-09 23:52:00 CDT",0
"106",7524,"2014-06-09 23:52:00 CDT--2014-06-10 00:02:00 CDT",0
"107",7524,"2014-06-10 00:02:00 CDT--2014-06-10 00:12:00 CDT",0
"108",7524,"2014-06-10 00:12:00 CDT--2014-06-10 00:22:00 CDT",0
"109",7524,"2014-06-10 00:22:00 CDT--2014-06-10 00:32:00 CDT",0
"110",7524,"2014-06-10 00:32:00 CDT--2014-06-10 00:42:00 CDT",0
"111",7524,"2014-06-10 00:42:00 CDT--2014-06-10 00:52:00 CDT",0
"112",7524,"2014-06-10 00:52:00 CDT--2014-06-10 01:02:00 CDT",0
"113",7524,"2014-06-10 01:02:00 CDT--2014-06-10 01:12:00 CDT",0
"114",7524,"2014-06-10 01:12:00 CDT--2014-06-10 01:22:00 CDT",0
"115",7524,"2014-06-10 01:22:00 CDT--2014-06-10 01:32:00 CDT",0
"116",7524,"2014-06-10 01:32:00 CDT--2014-06-10 01:42:00 CDT",0
"117",7524,"2014-06-10 01:42:00 CDT--2014-06-10 01:52:00 CDT",0
"118",7524,"2014-06-10 01:52:00 CDT--2014-06-10 02:02:00 CDT",0
"119",7524,"2014-06-10 02:02:00 CDT--2014-06-10 02:12:00 CDT",0
"120",7524,"2014-06-10 02:12:00 CDT--2014-06-10 02:22:00 CDT",0
"121",7524,"2014-06-10 02:22:00 CDT--2014-06-10 02:32:00 CDT",0
"122",7524,"2014-06-10 02:32:00 CDT--2014-06-10 02:42:00 CDT",0
"123",7524,"2014-06-10 02:42:00 CDT--2014-06-10 02:52:00 CDT",0
"124",7524,"2014-06-10 02:52:00 CDT--2014-06-10 03:02:00 CDT",0
"125",7524,"2014-06-10 03:02:00 CDT--2014-06-10 03:12:00 CDT",0
"126",7524,"2014-06-10 03:12:00 CDT--2014-06-10 03:22:00 CDT",0
"127",7524,"2014-06-10 03:22:00 CDT--2014-06-10 03:32:00 CDT",0
"128",7524,"2014-06-10 03:32:00 CDT--2014-06-10 03:42:00 CDT",0
"129",7524,"2014-06-10 03:42:00 CDT--2014-06-10 03:52:00 CDT",0
"130",7524,"2014-06-10 03:52:00 CDT--2014-06-10 04:02:00 CDT",0
"131",7524,"2014-06-10 04:02:00 CDT--2014-06-10 04:12:00 CDT",0
"132",7524,"2014-06-10 04:12:00 CDT--2014-06-10 04:22:00 CDT",0
"133",7524,"2014-06-10 04:22:00 CDT--2014-06-10 04:32:00 CDT",0
"134",7524,"2014-06-10 04:32:00 CDT--2014-06-10 04:42:00 CDT",0
"135",7524,"2014-06-10 04:42:00 CDT--2014-06-10 04:52:00 CDT",0
"136",7524,"2014-06-10 04:52:00 CDT--2014-06-10 05:02:00 CDT",0
"137",7524,"2014-06-10 05:02:00 CDT--2014-06-10 05:12:00 CDT",0
"138",7524,"2014-06-10 05:12:00 CDT--2014-06-10 05:22:00 CDT",0
