"","sm_id","location","year","month","day","PreSS","ms0","SS","c1","n1","a1","nightcalc","a2","n2","c2","endCivil2SRstart","ms8","EndSRdaystart","SStoSRend","date","startime","starttime.posix","endtime.posix","fullrec.interval","fullrec.duration","fullrec.seconds","sample_id","duration_new","start_time_new","end_time_new","segment_id"
"13",13585,"Behchoko",2014,"06","05","22:33:00",3600,"23:33:00",7830,0,0,0,0,0,7830,"3:54:00",540,"4:03:00",16200,2014-06-05,"2014-06-05 22:33:00",2014-06-05 22:33:00,2014-06-06 05:03:00,2014-06-05 22:33:00 CDT--2014-06-06 05:03:00 CDT,23400s (~6.5 hours),23400,"13585 2014-06-05",3600,2014-06-06 03:33:00,2014-06-06 04:33:00,6
"14",13585,"Behchoko",2014,"06","05","22:33:00",3600,"23:33:00",7830,0,0,0,0,0,7830,"3:54:00",540,"4:03:00",16200,2014-06-05,"2014-06-05 22:33:00",2014-06-05 22:33:00,2014-06-06 05:03:00,2014-06-05 22:33:00 CDT--2014-06-06 05:03:00 CDT,23400s (~6.5 hours),23400,"13585 2014-06-05",1800,2014-06-06 04:33:00,2014-06-06 05:03:00,7
"15",13585,"Behchoko",2014,"06","09","22:40:00",3600,"23:40:00",7440,0,0,0,0,0,7440,"3:48:00",600,"3:58:00",15480,2014-06-09,"2014-06-09 22:40:00",2014-06-09 22:40:00,2014-06-10 04:58:00,2014-06-09 22:40:00 CDT--2014-06-10 04:58:00 CDT,22680s (~6.3 hours),22680,"13585 2014-06-09",3600,2014-06-09 22:40:00,2014-06-09 23:40:00,1
"16",13585,"Behchoko",2014,"06","09","22:40:00",3600,"23:40:00",7440,0,0,0,0,0,7440,"3:48:00",600,"3:58:00",15480,2014-06-09,"2014-06-09 22:40:00",2014-06-09 22:40:00,2014-06-10 04:58:00,2014-06-09 22:40:00 CDT--2014-06-10 04:58:00 CDT,22680s (~6.3 hours),22680,"13585 2014-06-09",3600,2014-06-09 23:40:00,2014-06-10 00:40:00,2
"17",13585,"Behchoko",2014,"06","09","22:40:00",3600,"23:40:00",7440,0,0,0,0,0,7440,"3:48:00",600,"3:58:00",15480,2014-06-09,"2014-06-09 22:40:00",2014-06-09 22:40:00,2014-06-10 04:58:00,2014-06-09 22:40:00 CDT--2014-06-10 04:58:00 CDT,22680s (~6.3 hours),22680,"13585 2014-06-09",3600,2014-06-10 00:40:00,2014-06-10 01:40:00,3
"18",13585,"Behchoko",2014,"06","09","22:40:00",3600,"23:40:00",7440,0,0,0,0,0,7440,"3:48:00",600,"3:58:00",15480,2014-06-09,"2014-06-09 22:40:00",2014-06-09 22:40:00,2014-06-10 04:58:00,2014-06-09 22:40:00 CDT--2014-06-10 04:58:00 CDT,22680s (~6.3 hours),22680,"13585 2014-06-09",3600,2014-06-10 01:40:00,2014-06-10 02:40:00,4
"19",13585,"Behchoko",2014,"06","09","22:40:00",3600,"23:40:00",7440,0,0,0,0,0,7440,"3:48:00",600,"3:58:00",15480,2014-06-09,"2014-06-09 22:40:00",2014-06-09 22:40:00,2014-06-10 04:58:00,2014-06-09 22:40:00 CDT--2014-06-10 04:58:00 CDT,22680s (~6.3 hours),22680,"13585 2014-06-09",3600,2014-06-10 02:40:00,2014-06-10 03:40:00,5
"20",13585,"Behchoko",2014,"06","09","22:40:00",3600,"23:40:00",7440,0,0,0,0,0,7440,"3:48:00",600,"3:58:00",15480,2014-06-09,"2014-06-09 22:40:00",2014-06-09 22:40:00,2014-06-10 04:58:00,2014-06-09 22:40:00 CDT--2014-06-10 04:58:00 CDT,22680s (~6.3 hours),22680,"13585 2014-06-09",3600,2014-06-10 03:40:00,2014-06-10 04:40:00,6
"21",13585,"Behchoko",2014,"06","09","22:40:00",3600,"23:40:00",7440,0,0,0,0,0,7440,"3:48:00",600,"3:58:00",15480,2014-06-09,"2014-06-09 22:40:00",2014-06-09 22:40:00,2014-06-10 04:58:00,2014-06-09 22:40:00 CDT--2014-06-10 04:58:00 CDT,22680s (~6.3 hours),22680,"13585 2014-06-09",1080,2014-06-10 04:40:00,2014-06-10 04:58:00,7
"22",13585,"Behchoko",2014,"06","13","22:46:00",3600,"23:46:00",7170,0,0,0,0,0,7170,"3:45:00",600,"3:54:00",14940,2014-06-13,"2014-06-13 22:46:00",2014-06-13 22:46:00,2014-06-14 04:55:00,2014-06-13 22:46:00 CDT--2014-06-14 04:55:00 CDT,22140s (~6.15 hours),22140,"13585 2014-06-13",3600,2014-06-13 22:46:00,2014-06-13 23:46:00,1
"23",13585,"Behchoko",2014,"06","13","22:46:00",3600,"23:46:00",7170,0,0,0,0,0,7170,"3:45:00",600,"3:54:00",14940,2014-06-13,"2014-06-13 22:46:00",2014-06-13 22:46:00,2014-06-14 04:55:00,2014-06-13 22:46:00 CDT--2014-06-14 04:55:00 CDT,22140s (~6.15 hours),22140,"13585 2014-06-13",3600,2014-06-13 23:46:00,2014-06-14 00:46:00,2
